frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2026-06-09 08:28:34.672,0.0,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
2,2026-06-09 08:28:34.705,0.033,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
3,2026-06-09 08:28:34.739,0.066,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
4,2026-06-09 08:28:34.772,0.099,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
5,2026-06-09 08:28:34.806,0.133,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
6,2026-06-09 08:28:34.839,0.166,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
7,2026-06-09 08:28:34.872,0.199,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
8,2026-06-09 08:28:34.906,0.233,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
9,2026-06-09 08:28:34.939,0.266,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
10,2026-06-09 08:28:34.972,0.299,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
11,2026-06-09 08:28:35.006,0.333,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
12,2026-06-09 08:28:35.039,0.366,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
13,2026-06-09 08:28:35.072,0.4,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
14,2026-06-09 08:28:35.106,0.433,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
15,2026-06-09 08:28:35.139,0.466,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
16,2026-06-09 08:28:35.173,0.5,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
17,2026-06-09 08:28:35.206,0.533,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
18,2026-06-09 08:28:35.239,0.566,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
19,2026-06-09 08:28:35.273,0.6,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
20,2026-06-09 08:28:35.306,0.633,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
21,2026-06-09 08:28:35.339,0.666,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
22,2026-06-09 08:28:35.373,0.7,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
23,2026-06-09 08:28:35.406,0.733,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
24,2026-06-09 08:28:35.439,0.767,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
25,2026-06-09 08:28:35.473,0.8,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
26,2026-06-09 08:28:35.506,0.833,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
27,2026-06-09 08:28:35.540,0.867,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
28,2026-06-09 08:28:35.573,0.9,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
29,2026-06-09 08:28:35.606,0.933,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
30,2026-06-09 08:28:35.640,0.967,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
31,2026-06-09 08:28:35.673,1.0,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
32,2026-06-09 08:28:35.706,1.033,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
33,2026-06-09 08:28:35.740,1.067,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
34,2026-06-09 08:28:35.773,1.1,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
35,2026-06-09 08:28:35.807,1.134,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
36,2026-06-09 08:28:35.840,1.167,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
37,2026-06-09 08:28:35.873,1.2,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
38,2026-06-09 08:28:35.907,1.234,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
39,2026-06-09 08:28:35.940,1.267,32.102603,35.209708,0.0,0.0,0.0,334.7978612094982,trajectory,45.0,fixed,0.0,0.0,0.0,32.102603,35.209708
