frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2024-06-19 11:35:09.009,0.0,32.104834,35.203781,0.0,0.0,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.860329014529093,32.10455677694773,35.20442785378902
2,2024-06-19 11:35:09.042,0.033,32.104834,35.203781,0.0,0.0,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.860329014529093,32.10455677694773,35.20442785378902
3,2024-06-19 11:35:09.076,0.066,32.104834,35.203781,0.0,0.0,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.860329014529093,32.10455677694773,35.20442785378902
4,2024-06-19 11:35:09.110,0.1,32.104834,35.203781,0.0,0.0,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.860329014529093,32.10455677694773,35.20442785378902
5,2024-06-19 11:35:09.143,0.133,32.104834,35.203781,0.0,0.0,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.860329014529093,32.10455677694773,35.20442785378902
6,2024-06-19 11:35:09.177,0.166,32.104833,35.203781,0.0,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.971648505054407,32.104555776947734,35.20442785378902
7,2024-06-19 11:35:09.210,0.2,32.104833,35.203781,0.0,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.971648505054407,32.104555776947734,35.20442785378902
8,2024-06-19 11:35:09.243,0.233,32.104833,35.203781,0.0,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,60.99584761644313,-30.971648505054407,32.104555776947734,35.20442785378902
9,2024-06-19 11:35:09.277,0.266,32.104833,35.203782,0.09429618950287677,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.9074139997971,-29.300218063510627,32.10457079166286,35.204437520843285
10,2024-06-19 11:35:09.310,0.3,32.104833,35.203782,0.09429618950287677,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.9074139997971,-29.300218063510627,32.10457079166286,35.204437520843285
11,2024-06-19 11:35:09.343,0.333,32.104833,35.203782,0.09429618950287677,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.9074139997971,-29.300218063510627,32.10457079166286,35.204437520843285
12,2024-06-19 11:35:09.377,0.366,32.104833,35.203783,0.18859237960558195,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.61013259612939,-30.11544805249634,32.104563468327264,35.204434368208965
13,2024-06-19 11:35:09.410,0.4,32.104833,35.203783,0.18859237960558195,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.61013259612939,-30.11544805249634,32.104563468327264,35.204434368208965
14,2024-06-19 11:35:09.443,0.433,32.104833,35.203783,0.18859237960558195,-0.11131949052531576,118.4,,trajectory,60.0,fixed,68.35827187205172,61.61013259612939,-30.11544805249634,32.104563468327264,35.204434368208965
15,2024-06-19 11:35:09.477,0.467,32.104832,35.203784,0.2828885691084587,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.58806952458775,-28.34589909502599,32.10457936445601,35.20444473911506
16,2024-06-19 11:35:09.510,0.5,32.104832,35.203784,0.2828885691084587,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.58806952458775,-28.34589909502599,32.10457936445601,35.20444473911506
17,2024-06-19 11:35:09.543,0.533,32.104832,35.203784,0.2828885691084587,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.58806952458775,-28.34589909502599,32.10457936445601,35.20444473911506
18,2024-06-19 11:35:09.577,0.567,32.104832,35.203786,0.4714809487140406,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.71417113450922,-28.48393498403771,32.10457812445852,35.2044460764078
19,2024-06-19 11:35:09.611,0.6,32.104832,35.203786,0.4714809487140406,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.71417113450922,-28.48393498403771,32.10457812445852,35.2044460764078
20,2024-06-19 11:35:09.643,0.633,32.104832,35.203786,0.4714809487140406,-0.2226389810506315,118.4,,trajectory,60.0,fixed,68.35827187205172,62.71417113450922,-28.48393498403771,32.10457812445852,35.2044460764078
21,2024-06-19 11:35:09.677,0.667,32.104831,35.203788,0.6600733283196226,-0.3339584722840627,118.4,,trajectory,60.0,fixed,68.35827187205172,62.85435222129016,-28.701633849669783,32.10457616883633,35.20444756301173
