frame_count,frame_path,timestamp,start_seconds,drone_latitude,drone_longitude,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_latitude,ground_longitude
1,data/processed/frames_v13_1fps/frame_000001.jpg,2024-06-19 11:21:17.896,0.0,32.102632,35.209639,0.0,,trajectory,60.0,fixed,32.102632,35.209639
31,data/processed/frames_v13_1fps/frame_000002.jpg,2024-06-19 11:21:18.897,1.0,32.102632,35.209639,0.0,,trajectory,60.0,fixed,32.102632,35.209639
61,data/processed/frames_v13_1fps/frame_000003.jpg,2024-06-19 11:21:19.898,2.001,32.102633,35.209639,0.0,,trajectory,60.0,fixed,32.102633,35.209639
91,data/processed/frames_v13_1fps/frame_000004.jpg,2024-06-19 11:21:20.899,3.002,32.102633,35.209639,0.0,,trajectory,60.0,fixed,32.102633,35.209639
121,data/processed/frames_v13_1fps/frame_000005.jpg,2024-06-19 11:21:21.900,4.003,32.102633,35.209639,0.0,,trajectory,60.0,fixed,32.102633,35.209639
151,data/processed/frames_v13_1fps/frame_000006.jpg,2024-06-19 11:21:22.901,5.004,32.102633,35.20964,1.4,,trajectory,60.0,fixed,32.102627623321915,35.20964576072652
181,data/processed/frames_v13_1fps/frame_000007.jpg,2024-06-19 11:21:23.902,6.005,32.10263,35.209642,2.4,,trajectory,60.0,fixed,32.10262078283757,35.20965187553118
211,data/processed/frames_v13_1fps/frame_000008.jpg,2024-06-19 11:21:24.903,7.006,32.102628,35.209644,4.0,,trajectory,60.0,fixed,32.10261263806261,35.209660459218625
241,data/processed/frames_v13_1fps/frame_000009.jpg,2024-06-19 11:21:25.904,8.007,32.102625,35.209648,6.9,,trajectory,60.0,fixed,32.102598500658004,35.20967639215213
271,data/processed/frames_v13_1fps/frame_000010.jpg,2024-06-19 11:21:26.905,9.008,32.102617,35.209655,9.9,,trajectory,60.0,fixed,32.10257782169856,35.20969417830143
301,data/processed/frames_v13_1fps/frame_000011.jpg,2024-06-19 11:21:27.906,10.008,32.102607,35.209666,12.9,,trajectory,60.0,fixed,32.10255941306997,35.20972151808501
331,data/processed/frames_v13_1fps/frame_000012.jpg,2024-06-19 11:21:28.907,11.009,32.102599,35.209676,15.9,,trajectory,60.0,fixed,32.10254191703431,35.209746255957796
361,data/processed/frames_v13_1fps/frame_000013.jpg,2024-06-19 11:21:29.908,12.01,32.102594,35.209682,18.9,,trajectory,60.0,fixed,32.10252390005379,35.2097628845533
391,data/processed/frames_v13_1fps/frame_000014.jpg,2024-06-19 11:21:30.908,13.011,32.10259,35.209684,21.9,,trajectory,60.0,fixed,32.1025087730782,35.20977772337129
421,data/processed/frames_v13_1fps/frame_000015.jpg,2024-06-19 11:21:31.909,14.012,32.102587,35.209686,24.9,,trajectory,60.0,fixed,32.102494646102606,35.209792562189264
451,data/processed/frames_v13_1fps/frame_000016.jpg,2024-06-19 11:21:32.910,15.013,32.102584,35.209687,27.9,,trajectory,60.0,fixed,32.10248051912701,35.20980640100725
481,data/processed/frames_v13_1fps/frame_000017.jpg,2024-06-19 11:21:33.911,16.014,32.102581,35.209689,30.9,,trajectory,60.0,fixed,32.102466392151435,35.20982123982523
