subtitle_index,start_time,end_time,start_seconds,end_seconds,frame_count,diff_time_ms,timestamp,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,rel_alt,abs_alt,ct
1,"00:00:00,000","00:00:00,033",0.0,0.033,1,33,2026-06-09 08:34:33.434,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5887.0
2,"00:00:00,033","00:00:00,066",0.033,0.066,2,33,2026-06-09 08:34:33.468,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
3,"00:00:00,066","00:00:00,099",0.066,0.099,3,33,2026-06-09 08:34:33.501,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
4,"00:00:00,099","00:00:00,133",0.099,0.133,4,34,2026-06-09 08:34:33.535,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
5,"00:00:00,133","00:00:00,166",0.133,0.166,5,33,2026-06-09 08:34:33.568,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
6,"00:00:00,166","00:00:00,199",0.166,0.199,6,33,2026-06-09 08:34:33.601,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
7,"00:00:00,199","00:00:00,233",0.199,0.233,7,34,2026-06-09 08:34:33.635,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
8,"00:00:00,233","00:00:00,266",0.233,0.266,8,33,2026-06-09 08:34:33.668,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
9,"00:00:00,266","00:00:00,299",0.266,0.299,9,33,2026-06-09 08:34:33.701,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
10,"00:00:00,299","00:00:00,333",0.299,0.333,10,34,2026-06-09 08:34:33.735,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
11,"00:00:00,333","00:00:00,366",0.333,0.366,11,33,2026-06-09 08:34:33.768,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
12,"00:00:00,366","00:00:00,400",0.366,0.4,12,34,2026-06-09 08:34:33.802,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209671,0.0,700.585,5888.0
13,"00:00:00,400","00:00:00,433",0.4,0.433,13,33,2026-06-09 08:34:33.835,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209671,0.0,700.585,5888.0
14,"00:00:00,433","00:00:00,466",0.433,0.466,14,33,2026-06-09 08:34:33.868,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209671,0.0,700.585,5888.0
15,"00:00:00,466","00:00:00,500",0.466,0.5,15,34,2026-06-09 08:34:33.902,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
16,"00:00:00,500","00:00:00,533",0.5,0.533,16,33,2026-06-09 08:34:33.935,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
17,"00:00:00,533","00:00:00,566",0.533,0.566,17,33,2026-06-09 08:34:33.968,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
18,"00:00:00,566","00:00:00,600",0.566,0.6,18,34,2026-06-09 08:34:34.002,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
19,"00:00:00,600","00:00:00,633",0.6,0.633,19,33,2026-06-09 08:34:34.035,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
20,"00:00:00,633","00:00:00,666",0.633,0.666,20,33,2026-06-09 08:34:34.068,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.585,5888.0
21,"00:00:00,666","00:00:00,700",0.666,0.7,21,34,2026-06-09 08:34:34.102,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
22,"00:00:00,700","00:00:00,733",0.7,0.733,22,33,2026-06-09 08:34:34.135,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
23,"00:00:00,733","00:00:00,767",0.733,0.767,23,34,2026-06-09 08:34:34.168,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
24,"00:00:00,767","00:00:00,800",0.767,0.8,24,33,2026-06-09 08:34:34.202,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
25,"00:00:00,800","00:00:00,833",0.8,0.833,25,33,2026-06-09 08:34:34.235,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
26,"00:00:00,833","00:00:00,867",0.833,0.867,26,34,2026-06-09 08:34:34.269,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
27,"00:00:00,867","00:00:00,900",0.867,0.9,27,33,2026-06-09 08:34:34.302,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
28,"00:00:00,900","00:00:00,933",0.9,0.933,28,33,2026-06-09 08:34:34.335,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
29,"00:00:00,933","00:00:00,967",0.933,0.967,29,34,2026-06-09 08:34:34.369,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209672,0.0,700.58,5888.0
30,"00:00:00,967","00:00:01,000",0.967,1.0,30,33,2026-06-09 08:34:34.402,140.0,1/1250.0,1.8,0.0,default,24.0,32.102618,35.209671,0.0,700.58,5888.0
