frame_count,frame_path,timestamp,start_seconds,drone_latitude,drone_longitude,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_latitude,ground_longitude
1,data/processed/frames_v14_1fps/frame_000001.jpg,2024-06-19 11:35:09.009,0.0,32.104834,35.203781,118.4,116.83674052193447,trajectory,60.0,fixed,32.10455677694773,35.20442785378902
31,data/processed/frames_v14_1fps/frame_000002.jpg,2024-06-19 11:35:10.010,1.0,32.104828,35.203795,118.4,114.55942409784149,trajectory,60.0,fixed,32.104572768755574,35.204454347381414
61,data/processed/frames_v14_1fps/frame_000003.jpg,2024-06-19 11:35:11.011,2.001,32.10481,35.203843,118.4,114.09278459249117,trajectory,60.0,fixed,32.10455932596225,35.204504779459725
91,data/processed/frames_v14_1fps/frame_000004.jpg,2024-06-19 11:35:12.012,3.002,32.104778,35.203927,118.4,114.02915280823976,trajectory,60.0,fixed,32.104527948686,35.20458910770476
121,data/processed/frames_v14_1fps/frame_000005.jpg,2024-06-19 11:35:13.013,4.003,32.104739,35.204031,118.4,113.87891415110772,trajectory,60.0,fixed,32.10449042019838,35.204693879470966
151,data/processed/frames_v14_1fps/frame_000006.jpg,2024-06-19 11:35:14.017,5.004,32.1047,35.204135,118.4,114.15024361621568,trajectory,60.0,fixed,32.10444876391301,35.20479648235561
181,data/processed/frames_v14_1fps/frame_000007.jpg,2024-06-19 11:35:15.015,6.005,32.10466,35.204239,118.3,114.15024361621568,trajectory,60.0,fixed,32.10440897610566,35.20489992367119
211,data/processed/frames_v14_1fps/frame_000008.jpg,2024-06-19 11:35:16.016,7.006,32.104621,35.204343,118.4,113.8789141517563,trajectory,60.0,fixed,32.104372420198374,35.20500587947097
241,data/processed/frames_v14_1fps/frame_000009.jpg,2024-06-19 11:35:17.016,8.007,32.104582,35.204447,118.4,114.08449221295365,trajectory,60.0,fixed,32.104331407096986,35.20510882228229
271,data/processed/frames_v14_1fps/frame_000010.jpg,2024-06-19 11:35:18.018,9.008,32.104543,35.204549,118.4,113.91339003096874,trajectory,60.0,fixed,32.10429408237294,35.20521170277337
301,data/processed/frames_v14_1fps/frame_000011.jpg,2024-06-19 11:35:19.019,10.008,32.104505,35.204652,118.4,114.0844922136128,trajectory,60.0,fixed,32.10425440709698,35.20531382228229
331,data/processed/frames_v14_1fps/frame_000012.jpg,2024-06-19 11:35:20.019,11.009,32.104465,35.204755,118.4,114.3575734482896,trajectory,60.0,fixed,32.10421173797127,35.20541540478371
361,data/processed/frames_v14_1fps/frame_000013.jpg,2024-06-19 11:35:21.020,12.01,32.104426,35.204858,118.4,113.98128864415463,trajectory,60.0,fixed,32.10417641730536,35.20552035407427
391,data/processed/frames_v14_1fps/frame_000014.jpg,2024-06-19 11:35:22.021,13.011,32.104387,35.204962,118.4,113.87891414764857,trajectory,60.0,fixed,32.10413842019841,35.20562487947099
421,data/processed/frames_v14_1fps/frame_000015.jpg,2024-06-19 11:35:23.022,14.012,32.104348,35.205066,118.4,113.81024242933336,trajectory,60.0,fixed,32.10410009337327,35.2057292307157
