frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2026-06-09 08:34:33.434,0.0,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
2,2026-06-09 08:34:33.468,0.033,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
3,2026-06-09 08:34:33.501,0.066,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
4,2026-06-09 08:34:33.535,0.099,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
5,2026-06-09 08:34:33.568,0.133,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
6,2026-06-09 08:34:33.601,0.166,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
7,2026-06-09 08:34:33.635,0.199,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
8,2026-06-09 08:34:33.668,0.233,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
9,2026-06-09 08:34:33.701,0.266,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
10,2026-06-09 08:34:33.735,0.299,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
11,2026-06-09 08:34:33.768,0.333,32.102618,35.209672,0.0,0.0,0.0,154.79786484295528,trajectory,45.0,fixed,0.0,0.0,0.0,32.102618,35.209672
