frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2026-04-27 15:22:26.853,0.0,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
2,2026-04-27 15:22:26.887,0.033,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
3,2026-04-27 15:22:26.920,0.066,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
4,2026-04-27 15:22:26.953,0.099,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
5,2026-04-27 15:22:26.987,0.133,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
6,2026-04-27 15:22:27.019,0.166,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
7,2026-04-27 15:22:27.053,0.199,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
8,2026-04-27 15:22:27.087,0.233,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
9,2026-04-27 15:22:27.120,0.266,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
10,2026-04-27 15:22:27.154,0.299,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
11,2026-04-27 15:22:27.187,0.333,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
12,2026-04-27 15:22:27.220,0.366,32.102624,35.209724,0.0,0.0,19.6,272.8159702979674,trajectory,45.0,fixed,19.600000000000005,-19.57633265574708,0.9629121203571164,32.10263264998675,35.209516400318826
