query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1680,32.10265117,35.21002576,32.10265449,35.21000442,32.10249712,35.20998108,17.6584,17.6553
1709,32.10266727,35.20992173,32.10266407,35.20994243,32.10248534,35.21003036,22.6958,21.5545
1739,32.10265117,35.21002576,32.10265437,35.21000506,32.10248165,35.21006259,19.1880,19.9785
1769,32.10265117,35.21002576,32.10265122,35.21002544,32.10246708,35.21008978,21.3631,21.3770
1799,32.10244338,35.20998278,32.10248536,35.20999146,32.10245087,35.21011387,12.3898,12.1645
1829,32.10241451,35.21008243,32.10242098,35.21006243,32.10244018,35.21012285,4.7640,6.0855
1859,32.10241451,35.21008243,32.10241460,35.21008213,32.10246378,35.21014478,8.0408,8.0553
1889,32.10241451,35.21008243,32.10241451,35.21008243,32.10244863,35.21014951,7.3786,7.3786
1919,32.10241451,35.21008243,32.10241451,35.21008243,32.10242507,35.21015034,6.5102,6.5102
1949,32.10238463,35.21018208,32.10239067,35.21016195,32.10242875,35.21016744,5.1015,4.2706
1979,32.10238463,35.21018208,32.10238472,35.21018178,32.10244206,35.21019012,6.4379,6.4312
2009,32.10238463,35.21018208,32.10238463,35.21018208,32.10243868,35.21020544,6.4069,6.4069
2039,32.10238463,35.21018208,32.10238463,35.21018208,32.10243979,35.21019176,6.2073,6.2073
2069,32.10241451,35.21008243,32.10240847,35.21010257,32.10244653,35.21017335,9.2845,7.9054
2099,32.10241451,35.21008243,32.10241441,35.21008274,32.10245247,35.21015737,8.2337,8.2142
2129,32.10241451,35.21008243,32.10241451,35.21008243,32.10245741,35.21014139,7.3297,7.3297
2159,32.10241451,35.21008243,32.10241451,35.21008243,32.10246335,35.21012442,6.7262,6.7262
2189,32.10241451,35.21008243,32.10241451,35.21008243,32.10246949,35.21010787,6.5745,6.5745
2219,32.10244338,35.20998278,32.10243754,35.21000291,32.10247444,35.21009090,10.7660,9.2577
2249,32.10247238,35.20988178,32.10246643,35.20990249,32.10248118,35.21007349,18.1046,16.2081
2279,32.10266727,35.20992173,32.10262781,35.20991397,32.10248712,35.21005651,23.7431,20.6385
2309,32.10268779,35.20981849,32.10268304,35.20983923,32.10297634,35.20987132,32.5056,32.7899
2339,32.10272716,35.20961032,32.10271914,35.20965270,32.10298259,35.20984947,36.2908,34.7032
2369,32.10299713,35.20952623,32.10294246,35.20954386,32.10296714,35.20983922,29.7032,27.9872
2399,32.10288534,35.20957248,32.10290710,35.20956339,32.10295370,35.20983098,25.5361,25.7606
2429,32.10288534,35.20957248,32.10288569,35.20957233,32.10293925,35.20982273,24.3498,24.3534
2459,32.10288534,35.20957248,32.10288534,35.20957248,32.10292636,35.20981318,23.1527,23.1527
2489,32.10286857,35.20957722,32.10287196,35.20957627,32.10291336,35.20980325,21.8891,21.8946
2519,32.10286857,35.20957722,32.10286862,35.20957721,32.10289991,35.20979400,20.7376,20.7380
2549,32.10283501,35.20958672,32.10284179,35.20958480,32.10288647,35.20978476,19.5338,19.5008
2579,32.10282323,35.20959147,32.10282571,35.20959048,32.10287402,35.20977452,18.1638,18.1686
2609,32.10280896,35.20959840,32.10281188,35.20959699,32.10286058,35.20976527,16.7517,16.7693
2639,32.10279269,35.20960434,32.10279602,35.20960312,32.10248231,35.20978924,38.7016,39.0846
2669,32.10275813,35.20961284,32.10276517,35.20961110,32.10248058,35.20978437,34.8746,35.6447
2699,32.10274085,35.20961539,32.10274445,35.20961485,32.10248015,35.20976968,32.4639,32.8453
2729,32.10272407,35.20961714,32.10272751,35.20961678,32.10248903,35.20976238,29.5325,29.8883
2759,32.10272407,35.20961714,32.10272412,35.20961713,32.10250191,35.20975007,27.7265,27.7319
2789,32.10270829,35.20961889,32.10271148,35.20961853,32.10250979,35.20972877,24.4061,24.7418
2818,32.10269551,35.20962163,32.10269814,35.20962107,32.10270533,35.20975928,13.0256,13.0570
2848,32.10269551,35.20962163,32.10269555,35.20962162,32.10270732,35.20975648,12.7838,12.7841
2878,32.10266796,35.20963013,32.10267353,35.20962841,32.10269961,35.20974704,11.5742,11.5574
2908,32.10266796,35.20963013,32.10266804,35.20963010,32.10257426,35.20973331,14.2643,14.2730
2938,32.10268274,35.20962538,32.10267975,35.20962634,32.10254744,35.20973845,18.4538,18.1306
2968,32.10268274,35.20962538,32.10268269,35.20962540,32.10252866,35.20974530,20.5445,20.5395
2998,32.10265418,35.20963387,32.10265995,35.20963216,32.10253567,35.20973965,16.5387,17.1506
3028,32.10264040,35.20963862,32.10264327,35.20963764,32.10254947,35.20972791,13.1665,13.4723
3058,32.10262562,35.20964437,32.10262865,35.20964319,32.10256249,35.20971942,9.9744,10.2919
3088,32.10262562,35.20964437,32.10262567,35.20964435,32.10255982,35.20971548,9.9308,9.9357
3118,32.10261185,35.20964912,32.10261463,35.20964816,32.10255860,35.20971022,8.2664,8.5530
3148,32.10259956,35.20965367,32.10260209,35.20965274,32.10257107,35.20970142,5.5081,5.7448
3178,32.10259956,35.20965367,32.10259960,35.20965366,32.10257708,35.20969777,4.8533,4.8566
3208,32.10259956,35.20965367,32.10259956,35.20965367,32.10257108,35.20970177,5.5338,5.5338
3238,32.10259416,35.20965616,32.10259525,35.20965566,32.10256608,35.20970577,5.6260,5.7335
3268,32.10259297,35.20972797,32.10259323,35.20971345,32.10256052,35.20970045,4.4473,3.8413
3298,32.10259416,35.20965416,32.10259392,35.20966885,32.10256887,35.20969286,4.6083,3.5914
3328,32.10256389,35.20970989,32.10257000,35.20969886,32.10257566,35.20968877,2.3838,1.1408
3358,32.10256687,35.20971387,32.10256636,35.20971290,32.10257744,35.20968751,2.7499,2.6924
3388,32.10256389,35.20970989,32.10256449,35.20971069,32.10257966,35.20968494,2.9357,2.9576
3418,32.10256389,35.20970989,32.10256390,35.20970991,32.10258100,35.20968400,3.0965,3.0968
