query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,870,data/processed/frames_v14_1fps/frame_000030.jpg,v13,9682,69.02298767887802,v12,3388,data/processed/frames_v12_1fps/frame_000114.jpg,2,0.9771987199783325,268,207,0.7723880597014925,33.31128471116618
v14,900,data/processed/frames_v14_1fps/frame_000031.jpg,v12,3448,28.381713767644804,v12,3418,data/processed/frames_v12_1fps/frame_000115.jpg,3,0.9768303036689758,275,213,0.7745454545454545,30.903433218801382
v14,930,data/processed/frames_v14_1fps/frame_000032.jpg,v13,18914,92.78122348522429,v12,3478,data/processed/frames_v12_1fps/frame_000117.jpg,3,0.9728372097015381,282,197,0.6985815602836879,25.453278236735468
v14,960,data/processed/frames_v14_1fps/frame_000033.jpg,v13,18914,93.55843326044504,v12,3508,data/processed/frames_v12_1fps/frame_000118.jpg,7,0.9723430871963501,289,209,0.7231833910034602,22.477742250688078
v14,990,data/processed/frames_v14_1fps/frame_000034.jpg,v12,3538,20.040586330903167,v12,3538,data/processed/frames_v12_1fps/frame_000119.jpg,1,0.9773473739624023,290,215,0.7413793103448276,20.040586330903167
v14,1020,data/processed/frames_v14_1fps/frame_000035.jpg,v12,3538,21.07229275386943,v12,3598,data/processed/frames_v12_1fps/frame_000121.jpg,4,0.9762360453605652,268,206,0.7686567164179104,18.121681589656518
v14,1050,data/processed/frames_v14_1fps/frame_000036.jpg,v12,3538,27.005833347089943,v12,3598,data/processed/frames_v12_1fps/frame_000121.jpg,6,0.9765895009040833,273,220,0.8058608058608059,14.282559264823167
v14,1080,data/processed/frames_v14_1fps/frame_000037.jpg,v12,3718,32.59990674238161,v12,3658,data/processed/frames_v12_1fps/frame_000123.jpg,6,0.9751014709472656,263,218,0.8288973384030418,12.115484872609604
v14,1110,data/processed/frames_v14_1fps/frame_000038.jpg,v12,3718,22.950205300233545,v12,3658,data/processed/frames_v12_1fps/frame_000123.jpg,9,0.9805848598480225,267,222,0.8314606741573034,7.490414548019614
v14,1140,data/processed/frames_v14_1fps/frame_000039.jpg,v12,3718,14.843831400259063,v12,3658,data/processed/frames_v12_1fps/frame_000123.jpg,5,0.9801509380340576,259,214,0.8262548262548263,13.941747945393223
v14,1170,data/processed/frames_v14_1fps/frame_000040.jpg,v12,3718,10.95148357783732,v12,3718,data/processed/frames_v12_1fps/frame_000125.jpg,1,0.9889315366744995,323,258,0.7987616099071208,10.95148357783732
v14,1200,data/processed/frames_v14_1fps/frame_000041.jpg,v12,3718,15.787884865417,v13,14538,data/processed/frames_v13_1fps/frame_000486.jpg,6,0.9796144366264343,312,284,0.9102564102564102,48.55446270093404
v14,1230,data/processed/frames_v14_1fps/frame_000042.jpg,v12,3748,22.733948837738392,v13,14538,data/processed/frames_v13_1fps/frame_000486.jpg,5,0.9857062697410583,352,344,0.9772727272727273,50.368067901378026
v14,1260,data/processed/frames_v14_1fps/frame_000043.jpg,v12,3808,24.066232518478632,v13,14568,data/processed/frames_v13_1fps/frame_000487.jpg,2,0.9894194602966309,332,306,0.9216867469879518,30.04526263128751
v14,1290,data/processed/frames_v14_1fps/frame_000044.jpg,v12,3868,17.592775170301646,v13,14658,data/processed/frames_v13_1fps/frame_000490.jpg,7,0.9848492741584778,320,248,0.775,11.759275901947536
v14,1320,data/processed/frames_v14_1fps/frame_000045.jpg,v12,3898,16.963206223686214,v13,14658,data/processed/frames_v13_1fps/frame_000490.jpg,3,0.9892922639846802,360,319,0.8861111111111111,2.684718878016374
v14,1350,data/processed/frames_v14_1fps/frame_000046.jpg,v12,3927,15.799986137682628,v13,19424,data/processed/frames_v13_1fps/frame_000649.jpg,6,0.9884467720985413,331,317,0.9577039274924471,12.432736919893271
v14,1380,data/processed/frames_v14_1fps/frame_000047.jpg,v12,3927,16.365053621762375,v13,19424,data/processed/frames_v13_1fps/frame_000649.jpg,2,0.9919992089271545,347,336,0.968299711815562,4.341493006144709
v14,1410,data/processed/frames_v14_1fps/frame_000048.jpg,v12,3927,22.81250850442211,v13,19454,data/processed/frames_v13_1fps/frame_000650.jpg,7,0.9860159158706665,342,341,0.9970760233918129,3.6179898278014617
v14,1440,data/processed/frames_v14_1fps/frame_000049.jpg,v12,3987,16.31601121936488,v13,19484,data/processed/frames_v13_1fps/frame_000651.jpg,8,0.9835759401321411,351,351,1.0,1.1293867038340626
