query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v11,750,data/processed/frames_v11_1fps/frame_000026.jpg,v12,7344,data/processed/frames_v12_1fps/frame_000246.jpg,0.9618607759475708,10,4.662912937465662,32.10259515660011,35.209653161322194,32.10259296991612,35.209727969916116,7.05843124896929
v11,780,data/processed/frames_v11_1fps/frame_000027.jpg,v12,7344,data/processed/frames_v12_1fps/frame_000246.jpg,0.9601982235908508,10,4.530200064334073,32.10259415660011,35.2096541613222,32.10259296991612,35.209727969916116,6.961189090386773
v11,810,data/processed/frames_v11_1fps/frame_000028.jpg,v12,7344,data/processed/frames_v12_1fps/frame_000246.jpg,0.9562520384788513,10,4.35973459087204,32.10259415660011,35.209656161322194,32.10259296991612,35.209727969916116,6.7726298196562045
v11,840,data/processed/frames_v11_1fps/frame_000029.jpg,v12,7374,data/processed/frames_v12_1fps/frame_000247.jpg,0.9549262523651123,10,5.5080066715981,32.102599560422924,35.20965367094666,32.10259336565786,35.20973036565786,7.264891085787291
v11,870,data/processed/frames_v11_1fps/frame_000030.jpg,v12,7374,data/processed/frames_v12_1fps/frame_000247.jpg,0.9361283779144287,10,7.726937853762173,32.10261184587384,35.209649115493534,32.10259336565786,35.20973036565786,7.933035193347878
v11,900,data/processed/frames_v11_1fps/frame_000031.jpg,v14,2998,data/processed/frames_v14_1fps/frame_000101.jpg,0.9250274300575256,10,8.681070934103303,32.10262562392649,35.20964436847305,32.10253566835256,35.20973964586879,13.453455596571
v11,930,data/processed/frames_v11_1fps/frame_000032.jpg,v14,2968,data/processed/frames_v14_1fps/frame_000100.jpg,0.9238221049308777,10,9.943101869860387,32.10264040197915,35.20963862145258,32.10252865588639,35.20974530172725,15.998060996087531
v11,960,data/processed/frames_v11_1fps/frame_000033.jpg,v14,2968,data/processed/frames_v14_1fps/frame_000100.jpg,0.9171590209007263,10,10.384050445426134,32.10265418003181,35.20963387443211,32.10252865588639,35.20974530172725,17.483002549121178
v11,990,data/processed/frames_v11_1fps/frame_000034.jpg,v14,2669,data/processed/frames_v14_1fps/frame_000090.jpg,0.9127516746520996,10,18.932017403880884,32.102667958084474,35.20963012741163,32.10248058453807,35.20978436929948,25.428607766551437
v11,1020,data/processed/frames_v11_1fps/frame_000035.jpg,v14,2669,data/processed/frames_v14_1fps/frame_000090.jpg,0.9255239963531494,10,23.78958376481288,32.10268273613713,35.20962538039116,32.10248058453807,35.20978436929948,27.040144192535646
v11,1050,data/processed/frames_v11_1fps/frame_000036.jpg,v14,2669,data/processed/frames_v14_1fps/frame_000090.jpg,0.9337546825408936,10,22.827469176207284,32.1026955141898,35.20962163337068,32.10248058453807,35.20978436929948,28.424142297301287
v11,1080,data/processed/frames_v11_1fps/frame_000037.jpg,v14,2579,data/processed/frames_v14_1fps/frame_000087.jpg,0.9365652799606323,10,21.86153232244163,32.102708292242454,35.2096188863502,32.10287402333006,35.20977451603947,23.574084262568945
v11,1110,data/processed/frames_v11_1fps/frame_000038.jpg,v14,2609,data/processed/frames_v14_1fps/frame_000088.jpg,0.9386845827102661,10,20.64064708302641,32.10272407029511,35.20961713932973,32.102860577894575,35.20976527230257,20.64064708302641
v11,1140,data/processed/frames_v11_1fps/frame_000039.jpg,v14,2549,data/processed/frames_v14_1fps/frame_000086.jpg,0.9537469744682312,10,19.426539729394758,32.10274084834777,35.20961539230925,32.10288646876554,35.20978475977636,22.75621034964363
v11,1170,data/processed/frames_v11_1fps/frame_000040.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9517077207565308,10,18.348567919684065,32.10275813379867,35.20961283685613,32.102926356890805,35.20981318286249,26.600592272280327
v11,1200,data/processed/frames_v11_1fps/frame_000041.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9648876190185547,10,17.48516659670509,32.10277591185133,35.20960908983565,32.102926356890805,35.20981318286249,25.512000641123613
v11,1230,data/processed/frames_v11_1fps/frame_000042.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.968481719493866,10,16.952825166097412,32.10279268990399,35.20960434281518,32.102926356890805,35.20981318286249,24.682408196317674
v11,1260,data/processed/frames_v11_1fps/frame_000043.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9648306965827942,10,16.751489118108886,32.102808960558406,35.20959840422736,32.102926356890805,35.20981318286249,24.103313107276637
v11,1290,data/processed/frames_v11_1fps/frame_000044.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9636241793632507,10,16.908535262205906,32.102823231212824,35.209591465639534,32.102926356890805,35.20981318286249,23.85168292289022
v11,1320,data/processed/frames_v11_1fps/frame_000045.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9669575095176697,10,17.07597830699237,32.10283500926548,35.20958671861906,32.102926356890805,35.20981318286249,23.652409358365738
v11,1350,data/processed/frames_v11_1fps/frame_000046.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.964364230632782,10,17.413160970410328,32.10285078731814,35.209580971598584,32.102926356890805,35.20981318286249,23.45719041084409
v11,1380,data/processed/frames_v11_1fps/frame_000047.jpg,v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,0.9656761884689331,10,17.754631845817805,32.1028685653708,35.209577224578105,32.102926356890805,35.20981318286249,23.16156558255552
v11,1410,data/processed/frames_v11_1fps/frame_000048.jpg,v14,2399,data/processed/frames_v14_1fps/frame_000081.jpg,0.9672220945358276,10,16.40106725335472,32.10288534342346,35.20957247755763,32.10295369594295,35.20983097846084,25.535858028172772
v11,1440,data/processed/frames_v11_1fps/frame_000049.jpg,v12,4497,data/processed/frames_v12_1fps/frame_000151.jpg,0.9657027125358582,10,15.343388573725571,32.102897628874366,35.20956592210451,32.10227460995407,35.21038607262625,103.88038472384555
v11,1470,data/processed/frames_v11_1fps/frame_000050.jpg,v14,2399,data/processed/frames_v14_1fps/frame_000081.jpg,0.9622341394424438,10,14.16723443044202,32.10291191432527,35.20955936665138,32.10295369594295,35.20983097846084,26.031091994621057
v11,1500,data/processed/frames_v11_1fps/frame_000051.jpg,v12,4497,data/processed/frames_v12_1fps/frame_000151.jpg,0.9657491445541382,10,23.54318793200269,32.102925707174414,35.20955400276561,32.10227460995407,35.21038607262625,106.81559663323026
v11,1530,data/processed/frames_v11_1fps/frame_000052.jpg,v12,4497,data/processed/frames_v12_1fps/frame_000151.jpg,0.9727450013160706,10,25.082732177195428,32.10293950002357,35.209547638879826,32.10227460995407,35.21038607262625,108.30065254056777
v11,1560,data/processed/frames_v11_1fps/frame_000053.jpg,v12,4497,data/processed/frames_v12_1fps/frame_000151.jpg,0.9713347554206848,10,25.00720412245298,32.10295329287272,35.20954227499405,32.10227460995407,35.21038607262625,109.72197283864568
v11,1590,data/processed/frames_v11_1fps/frame_000054.jpg,v12,4497,data/processed/frames_v12_1fps/frame_000151.jpg,0.9782532453536987,10,10.778493098213216,32.10296757832362,35.20953671954093,32.10227460995407,35.21038607262625,111.19967820104472
