query_frame_count,time_s,decision,seconds_since_previous_fix,position_error_m,is_good_fix,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_inlier_count,lg_inlier_ratio,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count
1,0.0,FIX,,15.593941164074662,True,1,0.9769362807273865,624,0.9780564263322884,v11,24879
31,1.0,FIX,1.0,24.545604482918943,False,2,0.9685695171356201,503,0.9526515151515151,v11,24879
61,2.001,FIX,1.001,34.29486117271543,False,1,0.9671294689178467,397,0.8841870824053452,v11,24879
91,3.002,FIX,1.001,44.07090139950715,False,1,0.9665573239326477,306,0.8429752066115702,v11,24879
121,4.003,FIX,1.0010000000000003,53.72008046839886,False,1,0.9579671025276184,239,0.7515723270440252,v11,24879
151,5.004,FIX,1.0009999999999994,63.59903568546805,False,1,0.9576807618141174,174,0.7565217391304347,v11,24879
181,6.005,FIX,1.0010000000000003,73.45544864707631,False,1,0.9531471133232117,121,0.6954022988505747,v11,24879
211,7.006,NO_FIX,,81.4561628364317,False,5,0.9483208656311035,134,0.4855072463768116,v11,21672
241,8.007,NO_FIX,,80.38716125880998,False,6,0.953009307384491,145,0.45454545454545453,v11,21702
271,9.008,NO_FIX,,77.85170759722469,False,5,0.9518334269523621,140,0.438871473354232,v11,21731
301,10.008,NO_FIX,,70.0320065412885,False,6,0.9512722492218018,177,0.45153061224489793,v11,21761
331,11.009,NO_FIX,,63.30686773645096,False,2,0.9663537740707397,192,0.463768115942029,v11,21761
361,12.01,NO_FIX,,59.48180805946381,False,5,0.9638319611549377,222,0.5138888888888888,v11,21821
391,13.011,NO_FIX,,57.911019217430145,False,4,0.9673013091087341,233,0.571078431372549,v11,21821
421,14.012,NO_FIX,,58.70239695055159,False,5,0.9701906442642212,218,0.5677083333333334,v11,21821
451,15.013,NO_FIX,,65.6277011218546,False,3,0.9663910865783691,194,0.5672514619883041,v11,21851
481,16.014,NO_FIX,,77.42695524748692,False,2,0.9681954383850098,176,0.5623003194888179,v11,21851
511,17.015,FIX,11.010000000000002,85.58338934041386,False,2,0.9621188044548035,186,0.6992481203007519,v11,21851
541,18.016,FIX,1.0009999999999977,92.08983651187759,False,1,0.9639446139335632,158,0.6196078431372549,v11,21851
570,18.983,NO_FIX,,94.61547877286915,False,4,0.9604186415672302,150,0.44776119402985076,v11,22031
600,19.984,NO_FIX,,89.32608194024013,False,4,0.9724180698394775,163,0.4323607427055703,v11,22031
630,20.985,NO_FIX,,80.66989216130868,False,4,0.9703863263130188,150,0.3768844221105528,v11,22061
660,21.986,NO_FIX,,80.56752714536194,False,4,0.9690285325050354,148,0.3925729442970822,v11,22061
690,22.987,NO_FIX,,80.76523426882336,False,1,0.9750568270683289,163,0.4044665012406948,v11,22121
