query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v13,1,data/processed/frames_v13_1fps/frame_000001.jpg,v12,7734,data/processed/frames_v12_1fps/frame_000259.jpg,0.6706748008728027,10,7.087904305662746,32.102632,35.209639,32.10255677019221,35.20970277019221,10.309916036340715
v13,31,data/processed/frames_v13_1fps/frame_000002.jpg,v12,7734,data/processed/frames_v12_1fps/frame_000259.jpg,0.6742918491363525,10,7.087904305662746,32.102632,35.209639,32.10255677019221,35.20970277019221,10.309916036340715
v13,61,data/processed/frames_v13_1fps/frame_000003.jpg,v12,7734,data/processed/frames_v12_1fps/frame_000259.jpg,0.6799213886260986,10,7.177378799619116,32.102633,35.209639,32.10255677019221,35.20970277019221,10.40054136211375
v13,91,data/processed/frames_v13_1fps/frame_000004.jpg,v12,7734,data/processed/frames_v12_1fps/frame_000259.jpg,0.6580411791801453,10,7.177378799619116,32.102633,35.209639,32.10255677019221,35.20970277019221,10.40054136211375
v13,121,data/processed/frames_v13_1fps/frame_000005.jpg,v12,7704,data/processed/frames_v12_1fps/frame_000258.jpg,0.7792720198631287,10,7.177378799619116,32.102633,35.209639,32.10255954038441,35.20970554038442,10.30740672588782
v13,151,data/processed/frames_v13_1fps/frame_000006.jpg,v12,7524,data/processed/frames_v12_1fps/frame_000252.jpg,0.7365996241569519,10,8.552710553331016,32.102627623321915,35.20964576072652,32.10257734876288,35.20971634876288,8.69644662022246
v13,181,data/processed/frames_v13_1fps/frame_000007.jpg,v12,7524,data/processed/frames_v12_1fps/frame_000252.jpg,0.7487985491752625,10,1.028339471186749,32.10262078283757,35.20965187553118,32.10257734876288,35.20971634876288,7.7679406944897
v13,211,data/processed/frames_v13_1fps/frame_000008.jpg,v12,7434,data/processed/frames_v12_1fps/frame_000249.jpg,0.6699259877204895,10,1.0733251629692626,32.10261263806261,35.209660459218625,32.10259336565786,35.20973036565786,6.932397563636723
v13,241,data/processed/frames_v13_1fps/frame_000009.jpg,v12,7434,data/processed/frames_v12_1fps/frame_000249.jpg,0.619430422782898,10,5.121620328414719,32.102598500658004,35.20967639215213,32.10259336565786,35.20973036565786,5.121620328414719
v13,271,data/processed/frames_v13_1fps/frame_000010.jpg,v11,990,data/processed/frames_v11_1fps/frame_000034.jpg,0.5587437152862549,10,3.8260504170902254,32.10257782169856,35.20969417830143,32.102667958084474,35.20963012741163,11.711546041260057
