query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1680,32.10584004,35.20597932,32.10597487,35.20576581,32.10626219,35.20515051,91.1928,66.2516
1709,32.10584004,35.20597932,32.10585025,35.20579135,32.10617683,35.20524570,78.6825,62.9995
1739,32.10572762,35.20603131,32.10573558,35.20580129,32.10609016,35.20525851,83.3005,64.6337
1769,32.10562570,35.20607877,32.10562748,35.20579708,32.10600099,35.20527872,86.2363,64.1712
1799,32.10526254,35.20618484,32.10552350,35.20577957,32.10590900,35.20528311,111.3946,63.5069
1829,32.10512819,35.20595387,32.10542362,35.20573059,32.10581777,35.20521469,103.6866,65.5103
1859,32.10512819,35.20595387,32.10532594,35.20567619,32.10573606,35.20513408,102.7352,68.5377
1889,32.10512819,35.20595387,32.10525246,35.20563525,32.10564856,35.20511532,98.0203,65.9388
1919,32.10504864,35.20590724,32.10518130,35.20558026,32.10555846,35.20510332,94.6961,61.5249
1949,32.10488078,35.20583479,32.10511176,35.20551400,32.10546876,35.20508653,96.2424,56.6057
1979,32.10504864,35.20590724,32.10504471,35.20543910,32.10537770,35.20507303,86.7730,50.6524
2009,32.10488078,35.20583479,32.10497915,35.20536260,32.10528988,35.20503380,88.1967,46.4513
2039,32.10488078,35.20583479,32.10491547,35.20528641,32.10521160,35.20496224,90.1439,44.9565
2069,32.10484300,35.20442108,32.10485273,35.20521294,32.10513253,35.20490751,56.0591,42.4222
2099,32.10501891,35.20437155,32.10479030,35.20514364,32.10504529,35.20488376,48.3881,37.5006
2129,32.10501891,35.20437155,32.10472722,35.20508094,32.10495223,35.20488506,48.9875,31.1226
2159,32.10484300,35.20442108,32.10466501,35.20502514,32.10485551,35.20491046,46.1672,23.8042
2189,32.10484300,35.20442108,32.10460567,35.20497767,32.10476317,35.20493516,49.2830,17.9855
2219,32.10442633,35.20466092,32.10454568,35.20494371,32.10467152,35.20493263,37.4362,14.0465
2249,32.10442633,35.20466092,32.10448335,35.20492011,32.10458155,35.20492125,30.0197,10.9324
2279,32.10437341,35.20477676,32.10441901,35.20490683,32.10449099,35.20491828,18.6930,8.0857
2309,32.10422109,35.20488495,32.10435508,35.20490325,32.10439972,35.20491294,20.0596,5.0527
2339,32.10422109,35.20488495,32.10428967,35.20491146,32.10430894,35.20490097,9.8952,2.3618
2369,32.10422109,35.20488495,32.10421828,35.20492720,32.10421719,35.20488768,0.5048,3.7285
2399,32.10413921,35.20492753,32.10414704,35.20495065,32.10412596,35.20488063,4.6618,7.0075
2429,32.10405969,35.20497567,32.10407627,35.20498012,32.10403525,35.20486796,10.5150,11.5208
2459,32.10405969,35.20497567,32.10400858,35.20503230,32.10395084,35.20480238,20.3431,22.6134
2489,32.10390128,35.20507672,32.10394104,35.20508838,32.10388385,35.20469907,35.6635,37.2586
2519,32.10390128,35.20507672,32.10387574,35.20514484,32.10380812,35.20463862,42.5936,48.3257
2549,32.10383317,35.20514974,32.10381827,35.20520358,32.10372430,35.20460497,52.7809,57.4083
2579,32.10377039,35.20523222,32.10376428,35.20526303,32.10363948,35.20457034,64.0923,66.7797
2609,32.10370166,35.20530373,32.10371935,35.20532013,32.10355348,35.20453634,74.2190,76.1812
2639,32.10362904,35.20536601,32.10367801,35.20537812,32.10346935,35.20449932,83.6380,86.0630
2669,32.10362904,35.20536601,32.10364158,35.20543520,32.10338162,35.20447038,88.8331,95.4711
2699,32.10340538,35.20554341,32.10361165,35.20549130,32.10329525,35.20444333,104.4567,104.9104
2729,32.10318871,35.20558480,32.10358644,35.20554744,32.10321077,35.20440844,110.9560,115.2601
2759,32.10309909,35.20556652,32.10356874,35.20560440,32.10312477,35.20437544,112.3527,125.9873
2789,32.10318871,35.20558480,32.10355773,35.20566000,32.10302583,35.20440104,113.0896,132.6644
2818,32.10337330,35.20567070,32.10355433,35.20571500,32.10292821,35.20461855,110.8993,124.6917
2848,32.10346263,35.20588822,32.10355626,35.20576860,32.10296390,35.20499410,100.9509,98.3983
2878,32.10346263,35.20588822,32.10356551,35.20582061,32.10315563,35.20529821,65.2948,67.1459
2908,32.10366294,35.20606830,32.10357852,35.20586954,32.10334777,35.20545356,67.7591,46.8882
2938,32.10366294,35.20606830,32.10359660,35.20591825,32.10337334,35.20555317,58.2997,42.4591
2968,32.10366294,35.20606830,32.10361298,35.20597359,32.10329299,35.20564170,57.5698,47.4163
2998,32.10366294,35.20606830,32.10363036,35.20603027,32.10328285,35.20574338,52.2400,47.2059
3028,32.10366294,35.20606830,32.10364825,35.20608760,32.10333291,35.20585144,42.0468,41.5719
3058,32.10366294,35.20606830,32.10366367,35.20614974,32.10334785,35.20595635,36.6298,39.6058
3088,32.10366294,35.20606830,32.10367453,35.20621508,32.10334601,35.20606235,35.2846,39.3040
3118,32.10382873,35.20616074,32.10368252,35.20628236,32.10334317,35.20616836,54.0570,39.2758
3148,32.10382873,35.20616074,32.10368639,35.20635494,32.10334134,35.20627575,55.3292,39.1305
3178,32.10390940,35.20624352,32.10368298,35.20643104,32.10333501,35.20638363,65.2919,38.9927
3208,32.10390940,35.20624352,32.10367066,35.20651111,32.10335200,35.20649202,66.3271,35.5187
3238,32.10393852,35.20633993,32.10365093,35.20659356,32.10342894,35.20658971,61.4221,24.7154
3268,32.10390940,35.20624352,32.10362583,35.20668125,32.10343776,35.20669095,67.3550,20.9558
3298,32.10395559,35.20644044,32.10359336,35.20677146,32.10333688,35.20679276,76.4681,28.6212
3328,32.10360008,35.20705870,32.10355697,35.20686611,32.10328566,35.20688759,38.5409,30.2691
3358,32.10356108,35.20716070,32.10351713,35.20696599,32.10327137,35.20699024,36.0348,27.4538
3388,32.10356108,35.20716070,32.10347173,35.20706963,32.10326068,35.20709391,34.0290,23.6053
3418,32.10348408,35.20736570,32.10342394,35.20717428,32.10324614,35.20719689,30.9034,19.9070
3448,32.10315375,35.20754521,32.10337744,35.20727999,32.10323490,35.20730201,24.6481,16.0031
3478,32.10310300,35.20744904,32.10333076,35.20738661,32.10322328,35.20740807,13.9351,12.1351
3508,32.10315375,35.20754521,32.10328274,35.20749429,32.10321083,35.20751462,6.9781,8.2309
3538,32.10315375,35.20754521,32.10323590,35.20760255,32.10319512,35.20761901,8.3451,4.7979
3568,32.10310424,35.20764954,32.10319052,35.20770877,32.10318212,35.20772401,11.1568,1.7149
3598,32.10304719,35.20774823,32.10314699,35.20781488,32.10317383,35.20782962,16.0507,3.2950
3628,32.10303590,35.20785297,32.10310579,35.20791977,32.10316516,35.20793613,16.3873,6.7860
3658,32.10302719,35.20795900,32.10306816,35.20802599,32.10315749,35.20804163,16.4652,10.0531
3688,32.10301848,35.20806503,32.10303284,35.20812967,32.10312869,35.20814411,14.3574,10.7568
3718,32.10300076,35.20827907,32.10300485,35.20822478,32.10305181,35.20823131,7.2511,5.2639
3748,32.10279546,35.20842192,32.10297871,35.20832173,32.10294368,35.20829760,20.2409,4.5146
3778,32.10279546,35.20842192,32.10295397,35.20842040,32.10285212,35.20835771,8.7433,12.7860
3808,32.10298686,35.20849242,32.10292974,35.20851797,32.10283775,35.20846174,16.8500,11.5326
3838,32.10297786,35.20859942,32.10290965,35.20861498,32.10285511,35.20857852,13.8064,6.9771
3868,32.10296634,35.20881810,32.10288871,35.20871575,32.10282684,35.20867628,20.4946,7.8288
3898,32.10291234,35.20891132,32.10286613,35.20881633,32.10279753,35.20877666,18.0161,8.5036
3927,32.10291234,35.20891132,32.10284224,35.20891751,32.10276753,35.20887566,16.4669,9.2047
3957,32.10283053,35.20899407,32.10281844,35.20901712,32.10273446,35.20897376,10.8645,10.2036
3987,32.10280284,35.20909284,32.10279671,35.20911606,32.10270235,35.20907328,11.3382,11.2530
4017,32.10280392,35.20919944,32.10277455,35.20921451,32.10267035,35.20917428,15.0578,12.2049
4047,32.10278623,35.20930180,32.10275236,35.20931094,32.10263935,35.20927428,16.5563,13.0475
4077,32.10278623,35.20930180,32.10273099,35.20940191,32.10260440,35.20937398,21.3556,14.3354
4107,32.10274652,35.20950715,32.10271469,35.20948703,32.10257442,35.20947487,19.3993,15.6576
4137,32.10272716,35.20961032,32.10270470,35.20955945,32.10254248,35.20957446,20.8350,18.1143
4167,32.10259833,35.20971319,32.10268951,35.20961933,32.10251346,35.20967476,10.1188,20.2825
4197,32.10256407,35.20981670,32.10266842,35.20967027,32.10249645,35.20978021,8.2764,21.7706
4227,32.10249712,35.20998108,32.10264973,35.20972971,32.10247238,35.20988178,9.7606,24.4009
4257,32.10248165,35.21006259,32.10263613,35.20978169,32.10244338,35.20998278,8.6485,28.6359
4287,32.10244018,35.21012285,32.10262497,35.20982770,32.10241451,35.21008243,4.7640,33.5544
4317,32.10246378,35.21014478,32.10261511,35.20987065,32.10238463,35.21018208,9.4875,38.9964
4347,32.10261206,35.21023536,32.10260763,35.20990860,32.10235847,35.21028182,28.5667,44.8096
4377,32.10259573,35.21034005,32.10260151,35.20994207,32.10233135,35.21036897,29.5570,50.2498
4407,32.10259573,35.21034005,32.10259619,35.20997188,32.10229910,35.21039285,33.3942,51.6681
4437,32.10263267,35.21013152,32.10259204,35.20999753,32.10227461,35.21038507,46.4803,50.8345
4467,32.10291661,35.21005893,32.10258608,35.21002034,32.10227461,35.21038607,77.8405,48.9043
4497,32.10304245,35.20950860,32.10258255,35.21004353,32.10227461,35.21038607,118.9653,47.1007
4527,32.10253785,35.20902819,32.10257876,35.21006968,32.10227361,35.21038607,131.3823,45.2111
4557,32.10222427,35.20904075,32.10257552,35.21010160,32.10227361,35.21038607,126.9813,43.0014
4587,32.10233045,35.21030909,32.10256835,35.21010737,32.10227361,35.21038607,9.6297,42.0384
4617,32.10259573,35.21034005,32.10256038,35.21010823,32.10227341,35.21038764,36.1610,41.4090
4647,32.10259573,35.21034005,32.10255081,35.21010447,32.10227320,35.21038820,36.1902,40.8757
4677,32.10257673,35.21044305,32.10253994,35.21009527,32.10227300,35.21038876,34.1974,40.6080
4707,32.10257673,35.21044305,32.10252698,35.21007998,32.10227300,35.21038876,34.1974,40.5857
4737,32.10257673,35.21044305,32.10251061,35.21005674,32.10227400,35.21038876,34.0873,40.9152
4767,32.10257673,35.21044305,32.10249333,35.21002478,32.10227420,35.21038820,34.0728,42.0649
4797,32.10259573,35.21034005,32.10247502,35.20998515,32.10227420,35.21038820,36.0798,44.0939
4827,32.10243868,35.21020544,32.10245538,35.20994021,32.10227420,35.21038820,25.1442,46.8126
