query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count,motion_viterbi_reference_frame_path,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,motion_viterbi_position_error_m
v12,840,data/processed/frames_v12_1fps/frame_000029.jpg,v11,22121,96.93684839206242,v11,22121,data/processed/frames_v11_1fps/frame_000739.jpg,1,0.9671028256416321,281,106,0.37722419928825623,96.93684839206242
v12,870,data/processed/frames_v12_1fps/frame_000030.jpg,v11,22301,106.50862339252136,v11,22151,data/processed/frames_v11_1fps/frame_000740.jpg,5,0.9599491953849792,252,94,0.373015873015873,104.47221181793017
v12,900,data/processed/frames_v12_1fps/frame_000031.jpg,v11,22301,107.52968752766617,v11,22211,data/processed/frames_v11_1fps/frame_000742.jpg,6,0.9482885599136353,276,104,0.37681159420289856,109.68928068034134
v12,930,data/processed/frames_v12_1fps/frame_000032.jpg,v11,22301,109.27778397389979,v11,22271,data/processed/frames_v11_1fps/frame_000744.jpg,3,0.9479871988296509,292,111,0.3801369863013699,109.35393163700077
v12,960,data/processed/frames_v12_1fps/frame_000033.jpg,v11,22301,111.70216104100354,v11,22331,data/processed/frames_v11_1fps/frame_000746.jpg,3,0.9370579719543457,280,93,0.33214285714285713,115.70155955997669
v12,990,data/processed/frames_v12_1fps/frame_000034.jpg,v11,22301,115.00305506074241,v11,22361,data/processed/frames_v11_1fps/frame_000747.jpg,4,0.9381890296936035,254,93,0.3661417322834646,124.2723549794867
v12,1020,data/processed/frames_v12_1fps/frame_000035.jpg,v11,22781,139.3010595426539,v11,22751,data/processed/frames_v11_1fps/frame_000760.jpg,3,0.9387381076812744,287,75,0.2613240418118467,146.66307282388146
v12,1050,data/processed/frames_v12_1fps/frame_000036.jpg,v11,22721,159.48791295187425,v11,22781,data/processed/frames_v11_1fps/frame_000761.jpg,3,0.9484919309616089,304,79,0.2598684210526316,137.16438862567665
v12,1080,data/processed/frames_v12_1fps/frame_000037.jpg,v11,22721,159.03574035181762,v11,22840,data/processed/frames_v11_1fps/frame_000763.jpg,4,0.9468650221824646,340,91,0.2676470588235294,126.52018729410963
v12,1110,data/processed/frames_v12_1fps/frame_000038.jpg,v11,22721,159.40497834646402,v11,22840,data/processed/frames_v11_1fps/frame_000763.jpg,5,0.9460850954055786,338,95,0.28106508875739644,125.16948651536867
v12,1140,data/processed/frames_v12_1fps/frame_000039.jpg,v13,5936,211.7121526613169,v13,5966,data/processed/frames_v13_1fps/frame_000200.jpg,2,0.9475699067115784,198,66,0.3333333333333333,209.27238521285372
v12,1170,data/processed/frames_v12_1fps/frame_000040.jpg,v13,5966,208.7263135514974,v13,5966,data/processed/frames_v13_1fps/frame_000200.jpg,1,0.9552658796310425,206,68,0.3300970873786408,208.7263135514974
v12,1200,data/processed/frames_v12_1fps/frame_000041.jpg,v13,5966,208.89972217551016,v13,5966,data/processed/frames_v13_1fps/frame_000200.jpg,1,0.9608334898948669,209,71,0.3397129186602871,208.89972217551016
v12,1230,data/processed/frames_v12_1fps/frame_000042.jpg,v13,5966,209.538793388834,v13,5966,data/processed/frames_v13_1fps/frame_000200.jpg,1,0.9573582410812378,212,71,0.33490566037735847,209.538793388834
v12,1260,data/processed/frames_v12_1fps/frame_000043.jpg,v13,5996,204.8273963220814,v13,5966,data/processed/frames_v13_1fps/frame_000200.jpg,2,0.9347497820854187,221,73,0.33031674208144796,208.41362057116126
v12,1290,data/processed/frames_v12_1fps/frame_000044.jpg,v13,5936,201.4691917043508,v13,5996,data/processed/frames_v13_1fps/frame_000201.jpg,5,0.9495517611503601,180,56,0.3111111111111111,192.7118825392115
v12,1320,data/processed/frames_v12_1fps/frame_000045.jpg,v13,6056,118.83765378798725,v13,6056,data/processed/frames_v13_1fps/frame_000203.jpg,1,0.9752940535545349,36,11,0.3055555555555556,118.83765378798725
v12,1350,data/processed/frames_v12_1fps/frame_000046.jpg,v13,6056,89.90520843463202,v13,6086,data/processed/frames_v13_1fps/frame_000204.jpg,4,0.964768648147583,40,12,0.3,68.577425866856
v12,1380,data/processed/frames_v12_1fps/frame_000047.jpg,v13,6056,94.76000408704581,v13,6116,data/processed/frames_v13_1fps/frame_000205.jpg,2,0.9705938696861267,48,14,0.2916666666666667,62.45677492692793
v12,1410,data/processed/frames_v12_1fps/frame_000048.jpg,v13,6056,90.25880791778094,v13,6145,data/processed/frames_v13_1fps/frame_000206.jpg,6,0.9635841250419617,41,9,0.21951219512195122,56.28559959411699
v12,1440,data/processed/frames_v12_1fps/frame_000049.jpg,v13,6805,157.39911383848855,v13,6775,data/processed/frames_v13_1fps/frame_000227.jpg,5,0.9627701640129089,43,7,0.16279069767441862,149.07335974043966
v12,1470,data/processed/frames_v12_1fps/frame_000050.jpg,v13,6925,195.27399357897676,v13,6805,data/processed/frames_v13_1fps/frame_000228.jpg,3,0.963915228843689,52,7,0.1346153846153846,158.6877068762278
v12,1500,data/processed/frames_v12_1fps/frame_000051.jpg,v13,8334,113.60440794085343,v13,8244,data/processed/frames_v13_1fps/frame_000276.jpg,4,0.964806079864502,394,132,0.3350253807106599,107.33474391867658
v12,1530,data/processed/frames_v12_1fps/frame_000052.jpg,v13,8004,125.46200230836985,v13,8124,data/processed/frames_v13_1fps/frame_000272.jpg,2,0.9656757116317749,28,6,0.21428571428571427,90.57770642795126
v12,1560,data/processed/frames_v12_1fps/frame_000053.jpg,v11,23290,130.52325280269204,v13,8004,data/processed/frames_v13_1fps/frame_000268.jpg,2,0.9643705487251282,33,6,0.18181818181818182,86.85728822136353
