frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,raw_final_lat,raw_final_lon,raw_error_m,smoothed_lat,smoothed_lon,smoothed_error_m,frame_seconds
1,0.0,no_position_yet,0,True,434,0.998,VPR_FALLBACK,32.10449723423704,35.20438617837347,7.705684730225437,32.10449723423704,35.20438617837347,7.705684730225437,0.8486285420367494
31,1.0,ok,13,False,0,0.0,SAT,32.104504,35.204636,18.882478432334654,32.104504,35.204536,11.002384904417033,0.22874170797877014
61,2.001,ok,10,False,0,0.0,SAT,32.104435,35.20468,21.683474365509973,32.10447,35.204628,15.374245802686827,0.20341666706372052
91,3.002,ok,10,False,0,0.0,SAT,32.10443,35.20473,17.02481383726236,32.104443,35.204697,13.73764807679642,0.20562070899177343
121,4.003,ok,10,False,0,0.0,SAT,32.10436,35.204807,18.367243085901954,32.1044,35.20476,12.074446176885266,0.20125666598323733
151,5.004,ok,12,False,0,0.0,SAT,32.104305,35.204967,22.856406471576864,32.104343,35.204876,14.086856065975505,0.19404674996621907
181,6.005,ok,16,False,0,0.0,SAT,32.10428,35.205086,22.784493462773884,32.104305,35.205,15.026207391746691,0.17635966709349304
211,7.006,ok,17,False,0,0.0,SAT,32.10423,35.20519,23.632956418881083,32.104263,35.205116,16.139262689728408,0.1851553750457242
241,8.007,ok,13,False,0,0.0,SAT,32.104202,35.20528,21.690586790577942,32.10423,35.20522,15.500941303123897,0.21230166696477681
271,9.008,ok,14,False,0,0.0,SAT,32.104176,35.205406,22.57983107796438,32.1042,35.20533,15.396507779333243,0.2012449169997126
301,10.008,ok,12,False,0,0.0,SAT,32.10424,35.20539,7.3920788989105235,32.104218,35.205376,7.152456862052583,0.21172999998088926
331,11.009,ok,19,False,0,0.0,SAT,32.104065,35.205612,24.70375273356513,32.10415,35.2055,10.705765459819762,0.19758729194290936
361,12.01,ok,15,False,0,0.0,SAT,32.104023,35.20571,24.73884335834251,32.104073,35.205627,15.261195118029134,0.1901738749584183
391,13.011,ok,22,False,0,0.0,SAT,32.103973,35.20581,25.379169329405634,32.10401,35.20574,17.90879663839648,0.21076649997849017
421,14.012,ok,24,False,0,0.0,SAT,32.103947,35.205906,23.71335878026898,32.10397,35.205845,18.02537093495544,0.181036000023596
451,15.013,ok,28,False,0,0.0,SAT,32.103928,35.205986,20.938337221902685,32.103943,35.20593,16.148243420039286,0.18622129096183926
481,16.014,ok,24,False,0,0.0,SAT,32.103886,35.20608,20.437979121838197,32.103912,35.20602,14.485399180456389,0.19522712496109307
511,17.015,ok,23,False,0,0.0,SAT,32.10385,35.20618,20.192764470366388,32.103878,35.206116,14.086876693577706,0.1821960830129683
541,18.016,ok,32,False,0,0.0,SAT,32.103817,35.20626,18.134977582867176,32.10384,35.206207,13.167494271413165,0.19541337492410094
570,18.983,ok,32,False,0,0.0,SAT,32.103786,35.20635,17.131167543373934,32.10381,35.20629,12.135196591647574,0.1787250000052154
600,19.984,ok,38,False,0,0.0,SAT,32.103756,35.20643,15.190294236098255,32.103775,35.206375,11.098912385946992,0.17980162508320063
630,20.985,ok,30,False,0,0.0,SAT,32.10372,35.206524,14.44710937653067,32.103745,35.206463,9.93117639308035,0.19341908302158117
660,21.986,ok,26,False,0,0.0,SAT,32.103687,35.20662,13.535770978105322,32.10371,35.206562,9.0972207120906,0.1910381669877097
690,22.987,ok,29,False,0,0.0,SAT,32.10365,35.20672,13.348060364911749,32.103672,35.206654,8.94662630904304,0.196379708009772
720,23.988,ok,33,False,0,0.0,SAT,32.103615,35.20682,13.348061698982088,32.103638,35.206753,8.924905375435722,0.19719945907127112
750,24.989,ok,34,False,0,0.0,SAT,32.103577,35.206917,12.994394869258416,32.1036,35.20685,8.924905381480105,0.17181249998975545
780,25.989,ok,28,False,0,0.0,SAT,32.103546,35.207,11.068052480751335,32.103565,35.206944,8.140201597670403,0.18315825005993247
810,26.99,ok,24,False,0,0.0,SAT,32.103508,35.207104,11.06805319192314,32.10353,35.20704,7.852457601827919,0.19164662505500019
840,27.991,ok,23,False,0,0.0,SAT,32.10347,35.207195,10.69344970888248,32.103493,35.207134,8.047769709931512,0.2365460000000894
870,28.992,ok,18,False,0,0.0,SAT,32.10344,35.207294,9.775478845586303,32.10346,35.207233,7.771491010027195,0.16904679196886718
900,29.993,ok,16,False,0,0.0,SAT,32.103397,35.207397,10.182079503729181,32.10342,35.20733,8.06562727960623,0.19428191694896668
930,30.994,ok,17,False,0,0.0,SAT,32.103367,35.207493,9.175119014986304,32.103386,35.207428,7.862624274080269,0.1937135000480339
960,31.995,ok,15,False,0,0.0,SAT,32.103313,35.207607,11.20912554392608,32.103344,35.207535,7.911752829665384,0.21874875004868954
990,32.996,ok,14,False,0,0.0,SAT,32.103294,35.207783,13.451899863851066,32.10331,35.207676,6.80391814064367,0.14737987495027483
1020,33.997,ok,13,False,0,0.0,SAT,32.103237,35.207912,16.479287205720837,32.10327,35.20782,7.694599564702015,0.194127207971178
1050,34.998,ransac_fail,0,True,203,0.712,VPR_FALLBACK,32.10318211728229,35.207724014828756,19.338916248687216,32.10322,35.207798,11.301608555320726,0.7287950840545818
1080,35.998,ransac_fail,0,True,178,0.727,VPR_FALLBACK,32.10312869263351,35.20814410860112,20.752591940280265,32.10317,35.20796,9.588374336080259,0.9150230829836801
1110,36.999,ransac_fail,0,True,206,0.766,VPR_FALLBACK,32.10312869263351,35.20814410860112,11.22556179148941,32.103138,35.208088,8.50061758839225,0.703328917035833
1140,38.0,ransac_fail,0,True,216,0.708,VPR_FALLBACK,32.10305181194514,35.208231309340434,14.84382472943435,32.103092,35.20818,9.793414693750975,0.6032760409871116
1170,39.001,ok,11,False,0,0.0,SAT,32.103134,35.208195,8.643672021975226,32.103107,35.2082,8.943828612851366,0.17110849998425692
1200,40.002,ok,11,False,0,0.0,SAT,32.103085,35.208275,10.924411224771426,32.103104,35.208237,14.39499459631175,0.17517729208339006
1230,41.003,ok,11,False,0,0.0,SAT,32.103065,35.20834,14.388735459961286,32.103085,35.208298,18.468095371418677,0.2150254580192268
1260,42.004,ok,9,False,0,0.0,SAT,32.103035,35.208458,12.654437462200098,32.103058,35.208393,19.09180662505201,0.21327829093206674
