frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,raw_final_lat,raw_final_lon,raw_error_m,smoothed_lat,smoothed_lon,smoothed_error_m,frame_seconds
1,0.0,no_position_yet,0,True,333,1.0,VPR_FALLBACK,32.10383368070434,35.20532567228172,15.593908564877337,32.10383368070434,35.20532567228172,15.593908564877337,0.7973771669203416
31,1.0,ok,30,False,0,0.0,SAT,32.10432,35.20529,30.22731226823053,32.104084,35.205307,5.248427965696028,0.25706779095344245
61,2.001,ok,22,False,0,0.0,SAT,32.104393,35.205307,28.72538877520931,32.104202,35.205307,8.23233976217565,0.2130829159868881
91,3.002,ok,14,False,0,0.0,SAT,32.104588,35.205246,40.39945747170216,32.104332,35.205288,12.025464962222616,0.1964267500443384
121,4.003,ok,12,False,0,0.0,SAT,32.104618,35.20529,33.98914794819146,32.104427,35.205284,12.744582142169163,0.20238837494980544
151,5.004,ok,21,False,0,0.0,SAT,32.104683,35.20532,31.074503440116622,32.104515,35.205296,12.314854557056174,0.19356787507422268
181,6.005,ok,19,False,0,0.0,SAT,32.104755,35.205353,29.56682239809344,32.104595,35.205307,11.471195544431371,0.20437008398585021
211,7.006,ok,24,False,0,0.0,SAT,32.10485,35.205387,30.347989652366547,32.10468,35.205326,10.622346273462066,0.20716837502550334
241,8.007,ok,20,False,0,0.0,SAT,32.104927,35.205368,28.63515463702668,32.10476,35.20535,9.872368770682739,0.1846404999960214
271,9.008,ok,23,False,0,0.0,SAT,32.105022,35.205402,29.520834346602424,32.104843,35.205368,9.349225972354354,0.18565975001547486
301,10.008,ok,31,False,0,0.0,SAT,32.105103,35.20556,31.675841430607687,32.10493,35.205414,11.728512917459469,0.16830841603223234
331,11.009,ok,31,False,0,0.0,SAT,32.105152,35.20562,28.935521560367143,32.105,35.20548,12.621245716583628,0.17876262497156858
361,12.01,ok,28,False,0,0.0,SAT,32.10524,35.205692,30.429322384279857,32.105076,35.20554,10.807773233164225,0.21943983307573944
391,13.011,ok,32,False,0,0.0,SAT,32.10531,35.20573,28.8474094901065,32.105152,35.2056,9.452454614843312,0.22000808303710073
421,14.012,ok,31,False,0,0.0,SAT,32.105385,35.205696,26.38863827046069,32.10522,35.205643,7.6437028285176245,0.2160294579807669
451,15.013,ok,45,False,0,0.0,SAT,32.1055,35.20552,28.207867978426236,32.10531,35.205624,6.324738527924821,0.25375791697297245
481,16.014,ok,45,False,0,0.0,SAT,32.105587,35.205524,26.33813691065024,32.1054,35.2056,9.64886123508897,0.22417391696944833
511,17.015,ok,36,False,0,0.0,SAT,32.105667,35.20545,25.64100034120654,32.10548,35.20556,8.881491019307594,0.21474845800548792
541,18.016,ok,31,False,0,0.0,SAT,32.105778,35.20553,28.611737825552304,32.10558,35.20554,9.058373287456153,0.1570192079525441
570,18.983,ok,33,False,0,0.0,SAT,32.105858,35.2055,27.199025646605723,32.105667,35.20552,6.604937640114944,0.21857533406000584
600,19.984,ok,43,False,0,0.0,SAT,32.105923,35.205696,27.880014734106386,32.105747,35.20556,5.567131208598943,0.2106017080368474
630,20.985,ok,50,False,0,0.0,SAT,32.106014,35.205715,27.442929335434883,32.10583,35.205605,7.694533212399875,0.20155087497550994
660,21.986,ok,47,False,0,0.0,SAT,32.106102,35.205734,27.15856427221597,32.10592,35.205643,7.498656671410892,0.24387624999508262
690,22.987,ok,38,False,0,0.0,SAT,32.106186,35.205746,26.99369823567649,32.10601,35.20568,7.645572925815725,0.22145650000311434
720,23.988,ok,35,False,0,0.0,SAT,32.106274,35.205765,26.57289502392311,32.10609,35.20571,6.11673616290255,0.16990799992345273
750,24.989,ok,44,False,0,0.0,SAT,32.10636,35.20578,26.526596975599194,32.10618,35.20573,6.116735836774799,0.20866395893972367
780,25.989,ok,34,False,0,0.0,SAT,32.106438,35.2058,25.262647382043305,32.10626,35.20576,5.108481691204272,0.22525383299216628
