frame_count,source,raw_final_lat,raw_final_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,smoothed_error_m
1,SAT,32.10441,35.204582,32.10441000,35.20458200,32.10455678,35.20442785,21.8689
31,SAT,32.104504,35.204636,32.10446508,35.20461364,32.10457277,35.20445435,19.2182
61,SAT,32.104435,35.20468,32.10445674,35.20465161,32.10455933,35.20450478,17.9475
91,SAT,32.10443,35.20473,32.10444055,35.20469736,32.10452795,35.20458911,14.1015
121,SAT,32.10436,35.204807,32.10439727,35.20475986,32.10449042,35.20469388,12.0924
151,SAT,32.104305,35.204967,32.10434319,35.20487415,32.10444876,35.20479648,13.8482
181,SAT,32.10428,35.205086,32.10430236,35.20500073,32.10440898,35.20489992,15.2057
211,SAT,32.10423,35.20519,32.10426020,35.20511629,32.10437242,35.20500588,16.2618
241,SAT,32.1042,35.205242,32.10422315,35.20519738,32.10433141,35.20510882,14.6621
271,SAT,32.10421,35.20523,32.10421068,35.20522559,32.10429408,35.20521170,9.3762
301,SAT,32.104103,35.205513,32.10415593,35.20537157,32.10425441,35.20531382,12.2403
331,SAT,32.104053,35.20561,32.10409373,35.20551963,32.10421174,35.20541540,16.4055
361,SAT,32.104023,35.205723,32.10404798,35.20564528,32.10417642,35.20552035,18.5257
391,SAT,32.10398,35.20583,32.10400739,35.20575678,32.10413842,35.20562488,19.1693
421,SAT,32.103947,35.205906,32.10397072,35.20584918,32.10410009,35.20572923,18.3123
451,SAT,32.103928,35.205986,32.10394350,35.20593188,32.10406006,35.20583017,16.1363
481,SAT,32.103886,35.20608,32.10391073,35.20601903,32.10402106,35.20593217,14.7630
511,SAT,32.10385,35.20618,32.10387478,35.20611391,32.10398408,35.20603470,14.2771
541,SAT,32.103817,35.20626,32.10383991,35.20620270,32.10394406,35.20613717,13.1383
570,SAT,32.103786,35.20635,32.10380736,35.20629048,32.10390776,35.20623906,12.1830
600,SAT,32.103756,35.20643,32.10377648,35.20637448,32.10387078,35.20634159,10.9458
630,SAT,32.10372,35.206524,32.10374329,35.20646275,32.10383278,35.20644359,10.1250
660,SAT,32.10369,35.206615,32.10371114,35.20655339,32.10379206,35.20654417,9.0500
690,SAT,32.10366,35.2067,32.10368039,35.20664153,32.10375139,35.20664528,7.9111
720,SAT,32.10362,35.206814,32.10364527,35.20674193,32.10371609,35.20675023,7.9225
