frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1080,35.998,32.103253063912824,35.20798016833487,NO_FIX,32.1031608,35.2079985,10.41,ok,32.103176,35.207985,8.59,33,SAT_FIX,32.103176,35.207985,8.59
1110,36.999,32.10321508237291,35.20808270277335,NO_FIX,32.1031346,35.2081228,9.73,ok,32.10315,35.208073,7.3,25,SAT_FIX,32.10315,35.208073,7.3
1140,38.0,32.103179792536196,35.20818711223788,NO_FIX,32.1031288,35.2081438,7.0,ok,32.10313,35.208138,7.22,30,SAT_FIX,32.10313,35.208138,7.22
1170,39.001,32.10313806391284,35.20828716833488,NO_FIX,32.1030674,35.2082137,10.49,ok,32.103107,35.208218,7.38,33,SAT_FIX,32.103107,35.208218,7.38
1200,40.002,32.10309906391282,35.20838916833486,NO_FIX,32.1029658,35.2082839,17.85,ok,32.10311,35.208267,11.58,47,SAT_FIX,32.10311,35.208267,11.58
1230,41.003,32.1030637808488,35.208492588247964,FIX,32.1028257,35.2083966,28.0,ok,32.103058,35.208363,12.24,40,VPR_FIX,32.1028257,35.2083966,28.0
1260,42.004,32.103023063912836,35.20859316833487,FIX,32.1027959,35.2084215,30.02,ok,32.102993,35.20853,6.83,62,VPR_FIX,32.1027959,35.2084215,30.02
1290,43.005,32.1029840639128,35.208695168334856,NO_FIX,32.1028205,35.2086249,19.38,ok,32.10298,35.20859,9.93,72,SAT_FIX,32.10298,35.20859,9.93
1320,44.006,32.10294878084879,35.20879858824796,FIX,32.1029381,35.2087887,1.52,ok,32.10293,35.20871,8.61,63,VPR_FIX,32.1029381,35.2087887,1.52
1350,45.007,32.10290806391283,35.20889916833487,FIX,32.1029659,35.2088177,10.03,ok,32.102882,35.208817,8.27,63,VPR_FIX,32.1029659,35.2088177,10.03
1380,46.007,32.10286906391283,35.20900116833487,FIX,32.102858,35.2089585,4.21,ok,32.10284,35.208935,7.03,66,VPR_FIX,32.102858,35.2089585,4.21
1410,47.008,32.1028337808488,35.20910458824796,FIX,32.1028309,35.2089935,10.48,ok,32.1028,35.20904,7.16,78,VPR_FIX,32.1028309,35.2089935,10.48
1440,48.009,32.1027957808488,35.209206588247966,FIX,32.1027027,35.2091379,12.22,ok,32.102737,35.209198,6.59,71,VPR_FIX,32.1027027,35.2091379,12.22
1470,49.01,32.102757780848826,35.20930858824797,FIX,32.1027633,35.2092755,3.18,ok,32.10272,35.20926,6.22,74,VPR_FIX,32.1027633,35.2092755,3.18
1500,50.011,32.1027197808488,35.20941058824797,FIX,32.1027859,35.2093014,12.65,ok,32.10268,35.20936,6.51,61,VPR_FIX,32.1027859,35.2093014,12.65
1530,51.012,32.10268178084879,35.20951258824796,FIX,32.1027546,35.2094657,9.23,ok,32.10263,35.209488,6.21,73,VPR_FIX,32.1027546,35.2094657,9.23
1560,52.013,32.102641063912806,35.209613168334855,FIX,32.1027467,35.2095065,15.47,ok,32.102604,35.209587,4.81,57,VPR_FIX,32.1027467,35.2095065,15.47
1590,53.014,32.102598331882554,35.2097131875364,FIX,32.1027311,35.2095895,18.83,ok,32.102562,35.209682,5.0,52,VPR_FIX,32.1027311,35.2095895,18.83
1620,54.015,32.10256406865984,35.209816695594746,FIX,32.1026958,35.2097761,15.16,ok,32.102528,35.20979,4.74,50,VPR_FIX,32.1026958,35.2097761,15.16
1650,55.016,32.10253149959249,35.209913960775125,FIX,32.1026715,35.2099002,15.64,ok,32.102505,35.20983,8.45,56,VPR_FIX,32.1026715,35.2099002,15.64
1680,56.016,32.102497124458544,35.20998107640782,NO_FIX,32.1026545,35.2100044,17.66,ok,32.102493,35.20988,9.54,49,SAT_FIX,32.102493,35.20988,9.54
1709,56.984,32.10248534496606,35.21003036169797,FIX,32.1026641,35.2099424,21.55,ok,32.10248,35.209908,11.55,53,VPR_FIX,32.1026641,35.2099424,21.55
1739,57.985,32.102481647904774,35.210062591501085,FIX,32.1026544,35.2100051,19.98,ok,32.102455,35.209953,10.75,49,VPR_FIX,32.1026544,35.2100051,19.98
1769,58.986,32.10246708232203,35.210089776554724,NO_FIX,32.1026512,35.2100254,21.38,ok,32.102436,35.210052,4.97,48,SAT_FIX,32.102436,35.210052,4.97
1799,59.987,32.10245087029353,35.210113867648595,FIX,32.1024854,35.2099915,12.16,ok,32.102455,35.209984,12.25,44,VPR_FIX,32.1024854,35.2099915,12.16
1829,60.988,32.102440179055655,35.210122853669596,FIX,32.102421,35.2100624,6.09,ok,32.102425,35.210056,6.53,49,VPR_FIX,32.102421,35.2100624,6.09
1859,61.988,32.102463782476136,35.210144779891465,FIX,32.1024146,35.2100821,8.05,ok,32.102436,35.2101,5.23,46,VPR_FIX,32.1024146,35.2100821,8.05
1889,62.989,32.10244863159942,35.210149513101896,FIX,32.1024145,35.2100824,7.38,ok,32.10243,35.210033,11.18,44,VPR_FIX,32.1024145,35.2100824,7.38
1919,63.99,32.102425065522766,35.21015033619306,FIX,32.1024145,35.2100824,6.51,ok,32.102398,35.210094,6.11,44,VPR_FIX,32.1024145,35.2100824,6.51
1949,64.991,32.102428746571384,35.21016743950773,FIX,32.1023907,35.2101619,4.27,ok,32.102367,35.210133,7.6,40,VPR_FIX,32.1023907,35.2101619,4.27
1979,65.992,32.1024420602966,35.210190120321386,FIX,32.1023847,35.2101818,6.43,ok,32.102386,35.21011,9.8,30,VPR_FIX,32.1023847,35.2101818,6.43
2009,66.993,32.102438675582896,35.21020544081003,FIX,32.1023846,35.2101821,6.41,ok,32.102394,35.21016,6.56,34,VPR_FIX,32.1023846,35.2101821,6.41
2039,67.994,32.10243978560367,35.210191755418506,FIX,32.1023846,35.2101821,6.21,ok,32.102425,35.210094,9.36,39,VPR_FIX,32.1023846,35.2101821,6.21
2069,68.995,32.10244652920552,35.21017334512748,NO_FIX,32.1024085,35.2101026,7.91,ok,32.102383,35.210114,9.02,36,SAT_FIX,32.102383,35.210114,9.02
2099,69.996,32.102452470862616,35.21015736896435,FIX,32.1024144,35.2100827,8.21,ok,32.102455,35.209984,16.35,12,VPR_FIX,32.1024144,35.2100827,8.21
2129,70.997,32.10245741251971,35.21014139280122,NO_FIX,32.1024145,35.2100824,7.33,ok,32.102383,35.210106,8.93,19,SAT_FIX,32.102383,35.210106,8.93
2159,71.997,32.1024633541768,35.210124416638095,NO_FIX,32.1024145,35.2100824,6.73,ok,32.102463,35.210026,9.28,20,SAT_FIX,32.102463,35.210026,9.28
2189,72.998,32.10246949388913,35.21010787460286,NO_FIX,32.1024145,35.2100824,6.57,ok,32.102444,35.21007,4.56,26,SAT_FIX,32.102444,35.21007,4.56
2219,73.999,32.10247443554621,35.210090898439724,NO_FIX,32.1024375,35.2100029,9.26,ok,32.102467,35.210052,3.76,27,SAT_FIX,32.102467,35.210052,3.76
2249,75.0,32.10248117914807,35.21007348814871,NO_FIX,32.1024664,35.2099025,16.21,ok,32.102493,35.209934,13.22,19,SAT_FIX,32.102493,35.209934,13.22
2279,76.001,32.102487120805165,35.21005651198558,NO_FIX,32.1026278,35.209914,20.64,ok,32.102436,35.20996,10.73,24,SAT_FIX,32.102436,35.20996,10.73
2309,77.002,32.10297634304494,35.20987132115185,NO_FIX,32.102683,35.2098392,32.79,ransac_fail,,,,0,VPR_FALLBACK,32.102683,35.2098392,32.79
2339,78.003,32.102982586813916,35.20984946593463,NO_FIX,32.1027191,35.2096527,34.7,ransac_fail,,,,0,VPR_FALLBACK,32.1027191,35.2096527,34.7
2369,79.004,32.10296714137843,35.209839222197736,NO_FIX,32.1029425,35.2095439,27.99,ok,32.102962,35.20982,1.9,23,SAT_FIX,32.102962,35.20982,1.9
2399,80.005,32.10295369594295,35.20983097846084,NO_FIX,32.1029071,35.2095634,25.76,ransac_fail,,,,0,VPR_FALLBACK,32.1029071,35.2095634,25.76
2429,81.006,32.10293925050747,35.20982273472395,NO_FIX,32.1028857,35.2095723,24.35,ransac_fail,,,,0,VPR_FALLBACK,32.1028857,35.2095723,24.35
2459,82.006,32.102926356890805,35.20981318286249,NO_FIX,32.1028853,35.2095725,23.15,ransac_fail,,,,0,VPR_FALLBACK,32.1028853,35.2095725,23.15
2489,83.007,32.1029133596365,35.20980324725015,NO_FIX,32.102872,35.2095763,21.89,ransac_fail,,,,0,VPR_FALLBACK,32.102872,35.2095763,21.89
2519,84.008,32.102899914201025,35.20979400351326,NO_FIX,32.1028686,35.2095772,20.74,ransac_fail,,,,0,VPR_FALLBACK,32.1028686,35.2095772,20.74
2549,85.009,32.10288646876554,35.20978475977636,NO_FIX,32.1028418,35.2095848,19.5,ransac_fail,,,,0,VPR_FALLBACK,32.1028418,35.2095848,19.5
2579,86.01,32.10287402333006,35.20977451603947,NO_FIX,32.1028257,35.2095905,18.17,ransac_fail,,,,0,VPR_FALLBACK,32.1028257,35.2095905,18.17
2609,87.011,32.102860577894575,35.20976527230257,NO_FIX,32.1028119,35.209597,16.77,ransac_fail,,,,0,VPR_FALLBACK,32.1028119,35.209597,16.77
2639,88.012,32.102482309465664,35.20978924449873,NO_FIX,32.102796,35.2096031,39.08,few_matches,,,,0,VPR_FALLBACK,32.102796,35.2096031,39.08
2669,89.013,32.10248058453807,35.20978436929948,NO_FIX,32.1027652,35.2096111,35.65,ransac_fail,,,,0,VPR_FALLBACK,32.1027652,35.2096111,35.65
2699,90.014,32.10248014756002,35.20976968195198,NO_FIX,32.1027445,35.2096149,32.85,ransac_fail,,,,0,VPR_FALLBACK,32.1027445,35.2096149,32.85
2729,91.015,32.10248902792697,35.20976237765843,NO_FIX,32.1027275,35.2096168,29.89,ransac_fail,,,,0,VPR_FALLBACK,32.1027275,35.2096168,29.89
2759,92.015,32.10250190829391,35.20975007336487,NO_FIX,32.1027241,35.2096171,27.73,few_matches,,,,0,VPR_FALLBACK,32.1027241,35.2096171,27.73
2789,93.016,32.102509788660846,35.20972876907132,NO_FIX,32.1027115,35.2096185,24.74,few_matches,,,,0,VPR_FALLBACK,32.1027115,35.2096185,24.74
2818,93.984,32.102705333132896,35.20975927746043,NO_FIX,32.1026981,35.2096211,13.06,ransac_fail,,,,0,VPR_FALLBACK,32.1026981,35.2096211,13.06
2848,94.985,32.10270732134793,35.20975648202187,NO_FIX,32.1026955,35.2096216,12.78,few_matches,,,,0,VPR_FALLBACK,32.1026955,35.2096216,12.78
2878,95.986,32.10269961438102,35.209747040407045,NO_FIX,32.1026735,35.2096284,11.56,low_alt,,,,0,VPR_FALLBACK,32.1026735,35.2096284,11.56
2908,96.987,32.1025742565981,35.20973330884409,NO_FIX,32.102668,35.2096301,14.27,low_alt,,,,0,VPR_FALLBACK,32.102668,35.2096301,14.27
2938,97.987,32.10254743518062,35.20973845185549,NO_FIX,32.1026798,35.2096263,18.13,low_alt,,,,0,VPR_FALLBACK,32.1026798,35.2096263,18.13
2968,98.988,32.10252865588639,35.20974530172725,NO_FIX,32.1026827,35.2096254,20.54,low_alt,,,,0,VPR_FALLBACK,32.1026827,35.2096254,20.54
2998,99.989,32.10253566835256,35.20973964586879,NO_FIX,32.10266,35.2096322,17.15,low_alt,,,,0,VPR_FALLBACK,32.10266,35.2096322,17.15
3028,100.99,32.10254946759984,35.209727905223644,NO_FIX,32.1026433,35.2096376,13.47,low_alt,,,,0,VPR_FALLBACK,32.1026433,35.2096376,13.47
3058,101.991,32.102562486299085,35.209719421435935,NO_FIX,32.1026286,35.2096432,10.29,low_alt,,,,0,VPR_FALLBACK,32.1026286,35.2096432,10.29
3088,102.992,32.102559821710116,35.20971547879286,NO_FIX,32.1026257,35.2096443,9.94,low_alt,,,,0,VPR_FALLBACK,32.1026257,35.2096443,9.94
3118,103.993,32.10255860225815,35.209710221935424,NO_FIX,32.1026146,35.2096482,8.55,low_alt,,,,0,VPR_FALLBACK,32.1026146,35.2096482,8.55
3148,104.994,32.102571066094406,35.20970142393337,NO_FIX,32.1026021,35.2096527,5.74,low_alt,,,,0,VPR_FALLBACK,32.1026021,35.2096527,5.74
3178,105.995,32.10257707856057,35.20969776807489,NO_FIX,32.1025996,35.2096537,4.86,low_alt,,,,0,VPR_FALLBACK,32.1025996,35.2096537,4.86
3208,106.996,32.10257107856057,35.20970176807489,NO_FIX,32.1025996,35.2096537,5.53,low_alt,,,,0,VPR_FALLBACK,32.1025996,35.2096537,5.53
3238,107.996,32.10256607856057,35.20970576807489,NO_FIX,32.1025953,35.2096557,5.73,low_alt,,,,0,VPR_FALLBACK,32.1025953,35.2096557,5.73
3268,108.997,32.102560523697576,35.20970045386053,NO_FIX,32.1025932,35.2097135,3.84,low_alt,,,,0,VPR_FALLBACK,32.1025932,35.2097135,3.84
3298,109.998,32.102568871574775,35.20969285535898,NO_FIX,32.1025939,35.2096688,3.59,low_alt,,,,0,VPR_FALLBACK,32.1025939,35.2096688,3.59
3328,110.999,32.102575658355896,35.20968877057231,NO_FIX,32.10257,35.2096989,1.14,low_alt,,,,0,VPR_FALLBACK,32.10257,35.2096989,1.14
3358,112.0,32.10257743890393,35.209687513714876,NO_FIX,32.1025664,35.2097129,2.69,low_alt,,,,0,VPR_FALLBACK,32.1025664,35.2097129,2.69
3388,113.001,32.10257966458897,35.20968494264308,NO_FIX,32.1025645,35.2097107,2.96,low_alt,,,,0,VPR_FALLBACK,32.1025645,35.2097107,2.96
3418,114.002,32.102581,35.209684,NO_FIX,32.1025639,35.2097099,3.1,low_alt,,,,0,VPR_FALLBACK,32.1025639,35.2097099,3.1
