frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1080,35.998,32.1070946755433,35.20599191888582,NO_FIX,32.1069506,35.2058392,21.55,ok,32.107487,35.206142,45.91,91,SAT_FIX,32.107487,35.206142,45.91
1110,36.999,32.10718381457032,35.20600642165883,NO_FIX,32.107055,35.2057286,29.87,ok,32.107616,35.206142,49.78,105,SAT_FIX,32.107616,35.206142,49.78
1140,38.0,32.107272366559464,35.20602415925534,NO_FIX,32.1071312,35.2055972,43.22,ok,32.107723,35.206196,52.72,97,SAT_FIX,32.107723,35.206196,52.72
1170,39.001,32.10736090672702,35.206040887892485,NO_FIX,32.107195,35.2054756,56.41,ok,32.10781,35.20619,51.93,99,SAT_FIX,32.10781,35.20619,51.93
1200,40.002,32.10744902715063,35.20606014737867,NO_FIX,32.1072437,35.2053691,69.06,ok,32.107933,35.206223,56.02,95,SAT_FIX,32.107933,35.206223,56.02
1230,41.003,32.10753814562131,35.20607941474636,NO_FIX,32.1072762,35.2052811,80.72,ok,32.10805,35.20626,59.47,85,SAT_FIX,32.10805,35.20626,59.47
1260,42.004,32.107630710755444,35.20607502710956,NO_FIX,32.1072919,35.205209,89.95,ok,32.108166,35.206234,61.44,86,SAT_FIX,32.108166,35.206234,61.44
1290,43.005,32.10772408184169,35.205953573775325,NO_FIX,32.1072877,35.2051549,89.62,ok,32.10799,35.205166,79.95,60,SAT_FIX,32.10799,35.205166,79.95
1320,44.006,32.10770892351509,35.205592762203075,NO_FIX,32.1072638,35.2051206,66.61,ransac_fail,,,,0,VPR_FALLBACK,32.1072638,35.2051206,66.61
1350,45.007,32.10737306041666,35.20520990158049,NO_FIX,32.1072227,35.205105,19.44,ok,32.107166,35.204807,44.44,107,SAT_FIX,32.107166,35.204807,44.44
1380,46.007,32.107154438778615,35.20511426534329,NO_FIX,32.1071652,35.2051085,1.32,ok,32.10716,35.204716,37.56,103,SAT_FIX,32.10716,35.204716,37.56
1410,47.008,32.1071289786001,35.20502429670096,NO_FIX,32.107086,35.205126,10.71,ok,32.107143,35.204605,39.57,115,SAT_FIX,32.107143,35.204605,39.57
1440,48.009,32.10719021693019,35.20492021674372,NO_FIX,32.1069908,35.2051625,31.86,ok,32.107437,35.204475,50.17,113,SAT_FIX,32.107437,35.204475,50.17
1470,49.01,32.107317580356515,35.20484042113493,NO_FIX,32.1068823,35.2052101,59.69,ok,32.1075,35.204414,45.05,102,SAT_FIX,32.1075,35.204414,45.05
1500,50.011,32.10730502525504,35.20474097775576,NO_FIX,32.1067662,35.2052668,77.82,ok,32.107048,35.204357,46.15,103,SAT_FIX,32.107048,35.204357,46.15
1530,51.012,32.10701234284423,35.204695939568985,NO_FIX,32.1066375,35.2053704,76.06,ok,32.10658,35.20469,48.13,93,SAT_FIX,32.10658,35.20469,48.13
1560,52.013,32.10668864486423,35.2048874513556,NO_FIX,32.1065054,35.2054668,58.31,ok,32.106445,35.2048,28.35,113,SAT_FIX,32.106445,35.2048,28.35
1590,53.014,32.10654590431725,35.20500306371378,NO_FIX,32.10637,35.2055545,55.56,ok,32.106342,35.204887,25.2,108,SAT_FIX,32.106342,35.204887,25.2
1620,54.015,32.10645521421696,35.20501588152819,NO_FIX,32.1062375,35.2056347,63.18,ok,32.106255,35.20487,26.19,124,SAT_FIX,32.106255,35.20487,26.19
1650,55.016,32.10636193903838,35.20503431909742,NO_FIX,32.106105,35.2057051,69.42,ok,32.106148,35.204937,25.52,121,SAT_FIX,32.106148,35.204937,25.52
1680,56.016,32.10626218975579,35.205150513553974,NO_FIX,32.1059749,35.2057658,66.25,ok,32.10602,35.205204,27.43,128,SAT_FIX,32.10602,35.205204,27.43
1709,56.984,32.1061768258514,35.205245700947586,NO_FIX,32.1058503,35.2057913,63.0,ok,32.105938,35.205204,26.88,127,SAT_FIX,32.105938,35.205204,26.88
1739,57.985,32.10609015919682,35.205258511932485,NO_FIX,32.1057356,35.2058013,64.63,ok,32.105843,35.205223,27.72,135,SAT_FIX,32.105843,35.205223,27.72
1769,58.986,32.106000990057474,35.20527871927573,NO_FIX,32.1056275,35.2057971,64.17,ok,32.10575,35.205257,28.02,144,SAT_FIX,32.10575,35.205257,28.02
1799,59.987,32.105908997614286,35.20528310519646,NO_FIX,32.1055235,35.2057796,63.51,ok,32.10566,35.20527,27.75,135,SAT_FIX,32.10566,35.20527,27.75
