frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,final_lat,final_lon,error_m,frame_seconds
1739,57.985,ransac_fail,0,True,307,0.984,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.05761186557339,0.649774624966085
1769,58.986,ransac_fail,0,True,349,0.986,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.06189300883148,0.5469173750607297
1799,59.987,ransac_fail,0,True,314,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.06189300883148,0.49791666690725833
1829,60.988,ransac_fail,0,True,358,0.978,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.15612058287384,0.5638289999915287
1859,61.989,ransac_fail,0,True,301,0.98,VPR_FALLBACK,32.10227440536679,35.21038863524125,127.25034826185373,0.6170854159863666
1889,62.989,ransac_fail,0,True,304,0.997,VPR_FALLBACK,32.10227440536679,35.21038863524125,127.10478233824973,0.6198715419741347
1919,63.99,ransac_fail,0,True,352,0.997,VPR_FALLBACK,32.10227560995408,35.21038607262625,126.86857451868927,0.5830676660407335
1949,64.991,ransac_fail,0,True,307,0.975,VPR_FALLBACK,32.10227440536679,35.21038863524125,127.10478233824973,0.5035995419602841
1979,65.992,ransac_fail,0,True,345,0.98,VPR_FALLBACK,32.10227560995408,35.21038607262625,126.87305246144312,0.5351442079991102
2009,66.993,ransac_fail,0,True,284,0.983,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.0149094201486,0.8823161670006812
2039,67.994,ransac_fail,0,True,307,0.99,VPR_FALLBACK,32.1022754053668,35.210387635241254,127.01936085757653,0.7789284170139581
2069,68.995,ransac_fail,0,True,319,0.985,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.01936224608697,0.6075626250822097
2099,69.996,ransac_fail,0,True,344,0.986,VPR_FALLBACK,32.10227440536679,35.210387635241254,127.01936224608697,0.6081920419819653
2129,70.997,ransac_fail,0,True,351,0.98,VPR_FALLBACK,32.10227440536679,35.210387635241254,126.92514055479131,0.45724162505939603
2159,71.998,ransac_fail,0,True,372,0.984,VPR_FALLBACK,32.10227460995407,35.21038707262625,126.87305384832874,0.692280458053574
2189,72.998,ransac_fail,0,True,367,0.995,VPR_FALLBACK,32.10227460995407,35.21038707262625,126.87305384832874,0.5435812920331955
