frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1,0.0,32.10455677694773,35.20442785378902,FIX,32.1044869,35.2044046,8.09,ok,32.104477,35.204582,17.03,70,VPR_FIX,32.1044869,35.2044046,8.09
31,1.0,32.104572768755574,35.204454347381414,FIX,32.104471,35.2044267,11.62,ok,32.10445,35.20459,18.72,81,VPR_FIX,32.104471,35.2044267,11.62
61,2.001,32.10455932596225,35.204504779459725,FIX,32.1044538,35.2044507,12.81,ok,32.104435,35.204666,20.56,72,VPR_FIX,32.1044538,35.2044507,12.81
91,3.002,32.104527948686,35.20458910770476,FIX,32.1044288,35.2044865,14.68,ok,32.104397,35.20476,21.73,81,VPR_FIX,32.1044288,35.2044865,14.68
121,4.003,32.10449042019838,35.204693879470966,FIX,32.1044021,35.204536,17.84,ok,32.104378,35.204857,19.83,75,VPR_FIX,32.1044021,35.204536,17.84
151,5.004,32.10444876391301,35.20479648235561,FIX,32.1043621,35.2045967,21.16,ok,32.10432,35.204967,21.54,80,VPR_FIX,32.1043621,35.2045967,21.16
181,6.005,32.10440897610566,35.20489992367119,NO_FIX,32.1043162,35.2046662,24.34,ok,32.104267,35.20506,21.85,88,SAT_FIX,32.104267,35.20506,21.85
211,7.006,32.104372420198374,35.20500587947097,NO_FIX,32.1042684,35.2047485,26.89,ok,32.104225,35.205196,24.3,84,SAT_FIX,32.104225,35.205196,24.3
241,8.007,32.104331407096986,35.20510882228229,NO_FIX,32.1042159,35.2048406,28.38,ok,32.104183,35.205296,24.18,76,SAT_FIX,32.104183,35.205296,24.18
271,9.008,32.10429408237294,35.20521170277337,NO_FIX,32.1041626,35.2049434,29.23,ok,32.104156,35.205402,23.63,65,SAT_FIX,32.104156,35.205402,23.63
301,10.008,32.10425440709698,35.20531382228229,NO_FIX,32.1041036,35.2050652,28.83,ok,32.104107,35.20551,24.73,73,SAT_FIX,32.104107,35.20551,24.73
331,11.009,32.10421173797127,35.20541540478371,NO_FIX,32.1040467,35.2051969,27.6,ok,32.10407,35.205612,24.34,68,SAT_FIX,32.10407,35.205612,24.34
361,12.01,32.10417641730536,35.20552035407427,NO_FIX,32.1039935,35.2053327,26.98,ok,32.104027,35.20571,24.42,62,SAT_FIX,32.104027,35.20571,24.42
391,13.011,32.10413842019841,35.20562487947099,NO_FIX,32.1039457,35.2054715,25.87,ok,32.104,35.205795,22.24,72,SAT_FIX,32.104,35.205795,22.24
421,14.012,32.10410009337327,35.2057292307157,NO_FIX,32.1039042,35.2056109,24.49,ok,32.103962,35.205887,21.39,79,SAT_FIX,32.103962,35.205887,21.39
451,15.013,32.1040600639128,35.205830168334856,NO_FIX,32.1038715,35.2057486,22.36,ok,32.10392,35.205994,21.95,82,SAT_FIX,32.10392,35.205994,21.95
481,16.014,32.104021063912825,35.20593216833486,NO_FIX,32.1038475,35.205881,19.91,ok,32.10388,35.20609,21.64,55,SAT_FIX,32.10388,35.20609,21.64
